2026-04-30 12:22:55.594 | INFO     | stock_screener.main:scan_stocks:440 - ============================================================
2026-04-30 12:22:55.595 | INFO     | stock_screener.main:scan_stocks:441 - 🚀 A股尾盘涨停扫描器 启动
2026-04-30 12:22:55.595 | INFO     | stock_screener.main:scan_stocks:442 - 扫描时间: 2026-04-30 12:22:55
2026-04-30 12:22:55.595 | INFO     | stock_screener.main:scan_stocks:443 - ============================================================
2026-04-30 12:22:55.595 | INFO     | stock_screener.main:get_all_realtime:186 - 正在获取全市场实时数据...
2026-04-30 12:22:55.605 | INFO     | stock_screener.main:get_all_realtime:199 - 实时缓存已过期: 2026-04-29 23:46:02，缓存年龄 45414s，重新拉取
2026-04-30 12:22:55.605 | INFO     | stock_screener.main:get_all_realtime:210 - 尝试从东方财富获取实时行情(1/3)...
2026-04-30 12:24:30.417 | WARNING  | stock_screener.main:get_all_realtime:219 - 东方财富实时行情获取失败(1/3): HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by NameResolutionError("HTTPSConnection(host='82.push2.eastmoney.com', port=443): Failed to resolve '82.push2.eastmoney.com' ([Errno 8] nodename nor servname provided, or not known)"))
2026-04-30 12:24:32.418 | INFO     | stock_screener.main:get_all_realtime:210 - 尝试从东方财富获取实时行情(2/3)...
2026-04-30 12:26:07.368 | WARNING  | stock_screener.main:get_all_realtime:219 - 东方财富实时行情获取失败(2/3): HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by NameResolutionError("HTTPSConnection(host='82.push2.eastmoney.com', port=443): Failed to resolve '82.push2.eastmoney.com' ([Errno 8] nodename nor servname provided, or not known)"))
2026-04-30 12:26:09.371 | INFO     | stock_screener.main:get_all_realtime:210 - 尝试从东方财富获取实时行情(3/3)...
