日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002138,41.8,42.19,42.59,40.87,235486,1007051591.24,4.15,1.86,0.77,3.11
2026-02-27,002138,41.71,41.01,42.01,40.49,230254,962251223.36,3.6,-2.8,-1.18,3.04
2026-03-02,002138,40.22,42.76,43.35,40.22,424732,1820432944.63,7.63,4.27,1.75,5.61
2026-03-03,002138,43.09,41.05,43.65,40.87,390056,1670994222.35,6.5,-4.0,-1.71,5.16
2026-03-04,002138,40.29,40.33,41.81,40.03,266084,1104849624.21,4.34,-1.75,-0.72,3.52
2026-03-05,002138,41.26,40.13,42.0,39.74,308811,1286853910.68,5.6,-0.5,-0.2,4.08
2026-03-06,002138,40.09,39.71,40.83,39.48,196747,804535998.0,3.36,-1.05,-0.42,2.6
2026-03-09,002138,38.21,38.07,38.45,36.22,371796,1409380020.97,5.62,-4.13,-1.64,4.91
2026-03-10,002138,38.77,39.81,40.49,38.77,304802,1235250453.17,4.52,4.57,1.74,4.03
2026-03-11,002138,39.81,38.89,40.63,38.82,206875,832158642.12,4.55,-2.31,-0.92,2.73
2026-03-12,002138,38.81,37.66,38.82,37.11,298221,1148119333.32,4.4,-3.16,-1.23,3.94
2026-03-13,002138,37.41,37.49,38.36,37.02,212147,817328129.75,3.56,-0.45,-0.17,2.8
2026-03-16,002138,37.6,37.84,38.21,36.25,239682,909544487.32,5.23,0.93,0.35,3.17
2026-03-17,002138,38.0,36.96,38.13,36.91,238376,909621236.9,3.22,-2.33,-0.88,3.15
2026-03-18,002138,37.35,37.77,38.0,36.95,176507,675531054.69,2.84,2.19,0.81,2.33
2026-03-19,002138,37.03,36.66,37.41,36.42,203630,765332647.43,2.62,-2.94,-1.11,2.69
2026-03-20,002138,37.02,35.32,37.1,35.25,200245,740646541.08,5.05,-3.66,-1.34,2.65
2026-03-23,002138,34.7,33.86,35.28,33.62,248874,875122693.95,4.7,-4.13,-1.46,3.29
2026-03-24,002138,34.46,34.06,34.51,33.01,222081,764007552.85,4.43,0.59,0.2,2.94
2026-03-25,002138,34.88,34.88,35.56,34.48,178940,641557135.17,3.17,2.41,0.82,2.37
2026-03-26,002138,34.71,34.15,35.03,34.0,122816,432904127.66,2.95,-2.09,-0.73,1.62
2026-03-27,002138,33.7,34.09,34.55,33.41,100440,350049309.06,3.34,-0.18,-0.06,1.33
2026-03-30,002138,33.4,34.21,34.48,33.22,131674,456418560.92,3.7,0.35,0.12,1.74
2026-03-31,002138,33.97,33.09,34.4,32.94,175694,601813475.51,4.27,-3.27,-1.12,2.32
2026-04-01,002138,34.0,34.03,34.24,33.69,145480,494522242.03,1.66,2.84,0.94,1.92
2026-04-02,002138,33.8,32.71,33.8,32.4,171089,564469814.61,4.11,-3.88,-1.32,2.26
2026-04-03,002138,32.79,32.43,33.0,32.32,121255,395111101.99,2.08,-0.86,-0.28,1.6
2026-04-07,002138,32.5,32.15,32.86,32.01,136728,442770065.22,2.62,-0.86,-0.28,1.81
2026-04-08,002138,33.1,34.48,34.51,33.1,252106,854731569.82,4.39,7.25,2.33,3.33
2026-04-09,002138,33.88,33.9,34.07,33.61,210227,712186211.7,1.33,-1.68,-0.58,2.78
2026-04-10,002138,34.17,34.25,34.75,34.17,179090,616401531.1,1.71,1.03,0.35,2.37
2026-04-13,002138,33.98,34.57,35.05,33.83,190063,655656829.07,3.56,0.93,0.32,2.51
2026-04-14,002138,35.2,35.45,36.05,34.95,280483,997226278.23,3.18,2.55,0.88,3.71
2026-04-15,002138,36.01,35.71,36.55,35.53,248121,893498969.48,2.88,0.73,0.26,3.28
2026-04-16,002138,35.68,35.74,35.96,35.3,193964,690696928.65,1.85,0.08,0.03,2.56
2026-04-17,002138,35.6,35.45,35.76,35.18,170647,604168508.64,1.62,-0.81,-0.29,2.26
2026-04-20,002138,35.41,35.23,35.94,34.97,276645,980775661.94,2.74,-0.62,-0.22,3.66
2026-04-21,002138,35.07,35.1,35.33,34.2,225735,782813118.98,3.21,-0.37,-0.13,2.98
2026-04-22,002138,35.12,36.14,36.15,34.77,245067,872430696.28,3.93,2.96,1.04,3.24
2026-04-23,002138,36.11,35.51,36.47,34.85,216636,770875172.63,4.48,-1.74,-0.63,2.86
2026-04-24,002138,35.45,35.23,36.14,34.94,177876,631637318.47,3.38,-0.79,-0.28,2.35
2026-04-27,002138,35.4,35.57,36.29,35.38,271003,972123352.43,2.58,0.97,0.34,3.58
