日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002451,10.58,10.66,10.68,10.5,176767,187712142.96,1.7,0.66,0.07,4.03
2026-02-27,002451,10.58,10.73,10.75,10.55,158097,168684606.0,1.88,0.66,0.07,3.6
2026-03-02,002451,10.52,10.64,10.8,10.48,173734,184411113.96,2.98,-0.84,-0.09,3.96
2026-03-03,002451,10.64,10.38,10.83,10.32,324242,345484589.77,4.79,-2.44,-0.26,7.38
2026-03-04,002451,10.15,10.69,10.76,10.13,261514,277729055.86,6.07,2.99,0.31,5.96
2026-03-05,002451,10.78,11.01,11.11,10.78,405969,445705916.0,3.09,2.99,0.32,9.24
2026-03-06,002451,10.9,11.04,11.13,10.9,328920,363067697.92,2.09,0.27,0.03,7.49
2026-03-09,002451,10.94,11.57,11.58,10.91,641731,728630642.92,6.07,4.8,0.53,14.61
2026-03-10,002451,11.46,11.41,11.47,11.16,427090,483570015.39,2.68,-1.38,-0.16,9.73
2026-03-11,002451,11.35,11.65,12.0,11.06,546919,629476125.5,8.24,2.1,0.24,12.45
2026-03-12,002451,11.45,11.22,11.45,11.18,319717,360894811.02,2.32,-3.69,-0.43,7.28
2026-03-13,002451,11.1,11.05,11.45,10.83,266002,294882349.85,5.53,-1.52,-0.17,6.06
2026-03-16,002451,10.86,10.93,10.95,10.64,189359,204774525.91,2.81,-1.09,-0.12,4.31
2026-03-17,002451,10.94,10.42,11.11,10.4,230817,247440055.77,6.5,-4.67,-0.51,5.26
2026-03-18,002451,10.44,10.54,10.65,10.31,139699,146414672.09,3.26,1.15,0.12,3.18
2026-03-19,002451,10.34,10.16,10.46,10.13,146472,150455431.15,3.13,-3.61,-0.38,3.34
2026-03-20,002451,10.17,9.96,10.34,9.95,157389,158982545.65,3.84,-1.97,-0.2,3.58
2026-03-23,002451,9.67,9.29,9.92,9.19,204255,194982994.98,7.33,-6.73,-0.67,4.65
2026-03-24,002451,9.59,9.86,9.86,9.4,232039,223664159.71,4.95,6.14,0.57,5.28
2026-03-25,002451,9.87,10.01,10.05,9.78,124564,124155094.45,2.74,1.52,0.15,2.84
2026-03-26,002451,9.98,9.72,10.04,9.68,128987,126655105.0,3.6,-2.9,-0.29,2.94
2026-03-27,002451,9.67,9.72,9.83,9.59,114507,111378317.73,2.47,0.0,0.0,2.61
2026-03-30,002451,9.55,9.78,9.8,9.38,132595,126887223.47,4.32,0.62,0.06,3.02
2026-03-31,002451,9.75,9.55,9.93,9.55,107868,104875235.48,3.89,-2.35,-0.23,2.46
2026-04-01,002451,9.7,9.73,9.88,9.59,124944,121508851.6,3.04,1.88,0.18,2.85
2026-04-02,002451,9.7,9.49,9.93,9.44,155711,150534937.73,5.04,-2.47,-0.24,3.55
2026-04-03,002451,9.58,9.22,9.6,9.19,110545,102841325.01,4.32,-2.85,-0.27,2.52
2026-04-07,002451,9.28,9.38,9.45,9.24,90262,84592155.37,2.28,1.74,0.16,2.06
2026-04-08,002451,9.58,9.78,9.81,9.5,131741,127768199.02,3.3,4.26,0.4,3.0
2026-04-09,002451,9.69,9.6,9.75,9.52,104983,100856221.0,2.35,-1.84,-0.18,2.39
2026-04-10,002451,9.73,9.67,9.74,9.6,101252,98020222.96,1.46,0.73,0.07,2.31
2026-04-13,002451,9.63,9.72,9.75,9.55,89565,86708128.13,2.07,0.52,0.05,2.04
2026-04-14,002451,9.79,9.77,9.85,9.65,98577,96012443.14,2.06,0.51,0.05,2.24
2026-04-15,002451,9.84,9.83,9.98,9.74,199896,197491572.4,2.46,0.61,0.06,4.55
2026-04-16,002451,9.81,9.87,9.87,9.58,136240,132814732.48,2.95,0.41,0.04,3.1
2026-04-17,002451,9.85,9.69,9.9,9.61,147600,143370092.4,2.94,-1.82,-0.18,3.36
2026-04-20,002451,9.69,9.85,9.86,9.59,134337,131028750.98,2.79,1.65,0.16,3.06
2026-04-21,002451,9.88,9.72,9.91,9.56,144431,139525626.2,3.55,-1.32,-0.13,3.29
2026-04-22,002451,9.66,9.72,9.79,9.63,103946,100899270.96,1.65,0.0,0.0,2.37
2026-04-23,002451,9.7,9.48,9.8,9.4,140280,133577194.6,4.12,-2.47,-0.24,3.19
2026-04-24,002451,9.4,9.4,9.48,9.28,97184,91015599.51,2.11,-0.84,-0.08,2.21
2026-04-27,002451,9.29,9.45,9.48,9.13,113140,105226126.0,3.72,0.53,0.05,2.58
