日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,603868,37.37,36.37,37.37,36.21,12930,47260285.0,3.12,-2.18,-0.81,0.3
2026-02-27,603868,36.22,36.15,36.59,36.01,7881,28573485.0,1.59,-0.6,-0.22,0.18
2026-03-02,603868,35.68,36.0,36.5,35.41,12380,44416785.0,3.02,-0.41,-0.15,0.28
2026-03-03,603868,35.99,35.6,36.68,35.44,10594,38053735.0,3.44,-1.11,-0.4,0.24
2026-03-04,603868,35.48,35.17,35.59,34.72,13309,46756623.0,2.44,-1.21,-0.43,0.31
2026-03-05,603868,35.55,35.77,36.27,35.19,12870,46220938.0,3.07,1.71,0.6,0.3
2026-03-06,603868,35.59,36.16,36.19,35.55,6445,23189253.0,1.79,1.09,0.39,0.15
2026-03-09,603868,35.75,36.2,36.35,35.37,7300,26228425.0,2.71,0.11,0.04,0.17
2026-03-10,603868,36.2,36.8,36.85,36.09,10613,38782455.0,2.1,1.66,0.6,0.24
2026-03-11,603868,36.81,36.57,36.87,36.42,6292,23033186.0,1.22,-0.63,-0.23,0.14
2026-03-12,603868,37.0,36.84,37.08,36.43,7399,27213998.0,1.78,0.74,0.27,0.17
2026-03-13,603868,36.8,37.01,37.08,36.58,7371,27166280.0,1.36,0.46,0.17,0.17
2026-03-16,603868,37.16,36.35,37.2,35.85,14461,52728300.0,3.65,-1.78,-0.66,0.33
2026-03-17,603868,36.35,35.62,36.49,35.46,9902,35547757.0,2.83,-2.01,-0.73,0.23
2026-03-18,603868,35.55,35.55,35.75,35.35,5579,19792402.0,1.12,-0.2,-0.07,0.13
2026-03-19,603868,35.18,35.04,35.61,34.72,12634,44385742.0,2.5,-1.43,-0.51,0.29
2026-03-20,603868,35.06,34.77,35.46,34.61,9029,31624161.0,2.43,-0.77,-0.27,0.21
2026-03-23,603868,34.61,32.7,34.61,32.22,26765,88904545.0,6.87,-5.95,-2.07,0.61
2026-03-24,603868,33.29,33.0,33.67,32.48,20129,66317948.0,3.64,0.92,0.3,0.46
2026-03-25,603868,33.15,32.96,33.5,32.62,20864,68795562.0,2.67,-0.12,-0.04,0.48
2026-03-26,603868,32.89,32.84,33.16,32.69,12464,40958574.0,1.43,-0.36,-0.12,0.29
2026-03-27,603868,32.7,32.92,33.0,32.4,12584,41237293.0,1.83,0.24,0.08,0.29
2026-03-30,603868,32.56,32.92,33.07,32.5,10519,34575831.0,1.73,0.0,0.0,0.24
2026-03-31,603868,32.87,32.47,33.47,32.31,21862,71791325.0,3.52,-1.37,-0.45,0.5
2026-04-01,603868,32.8,33.21,33.58,32.72,20332,67363611.0,2.65,2.28,0.74,0.47
2026-04-02,603868,33.21,32.68,33.38,32.35,18561,60841950.0,3.1,-1.6,-0.53,0.43
2026-04-03,603868,32.68,32.27,32.72,31.84,13785,44231799.0,2.69,-1.25,-0.41,0.32
2026-04-07,603868,32.2,31.85,32.21,31.74,11070,35298109.0,1.46,-1.3,-0.42,0.25
2026-04-08,603868,32.12,32.33,32.35,31.91,34769,111601709.0,1.38,1.51,0.48,0.8
2026-04-09,603868,32.0,31.35,32.04,31.05,25606,80815429.0,3.06,-3.03,-0.98,0.59
2026-04-10,603868,31.35,31.68,31.88,31.35,17905,56745718.0,1.69,1.05,0.33,0.41
2026-04-13,603868,31.58,31.59,32.0,31.29,13883,43889228.0,2.24,-0.28,-0.09,0.32
2026-04-14,603868,31.83,31.9,32.0,31.6,13943,44364015.0,1.27,0.98,0.31,0.32
2026-04-15,603868,32.01,31.81,32.09,31.68,8776,27981504.0,1.29,-0.28,-0.09,0.2
2026-04-16,603868,31.84,31.81,31.93,31.64,9355,29749576.0,0.91,0.0,0.0,0.21
2026-04-17,603868,31.62,31.64,31.86,31.42,11057,34925081.0,1.38,-0.53,-0.17,0.25
2026-04-20,603868,31.5,31.76,31.92,31.44,10172,32245289.0,1.52,0.38,0.12,0.23
2026-04-21,603868,31.72,31.96,32.2,31.57,10861,34683922.0,1.98,0.63,0.2,0.25
2026-04-22,603868,32.1,32.67,32.68,31.9,17950,58139351.0,2.44,2.22,0.71,0.41
2026-04-23,603868,32.55,33.0,33.19,32.55,19022,62496513.0,1.96,1.01,0.33,0.44
2026-04-24,603868,32.9,35.16,35.5,32.61,48101,165020035.0,8.76,6.55,2.16,1.1
2026-04-27,603868,35.6,34.48,35.67,34.0,26572,91584052.0,4.75,-1.93,-0.68,0.61
