日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,301222,33.7,33.26,33.78,32.8,21727,71851993.0,2.93,-0.69,-0.23,2.72
2026-02-27,301222,33.27,33.25,33.3,32.85,17357,57356526.0,1.35,-0.03,-0.01,2.17
2026-03-02,301222,32.83,31.74,33.09,31.02,41432,131465298.0,6.23,-4.54,-1.51,5.19
2026-03-03,301222,31.74,31.85,33.05,31.74,36654,118823466.0,4.13,0.35,0.11,4.59
2026-03-04,301222,31.85,32.73,32.76,31.42,26605,86077378.0,4.21,2.76,0.88,3.33
2026-03-05,301222,33.33,32.18,33.82,32.01,31521,103582239.0,5.53,-1.68,-0.55,3.95
2026-03-06,301222,32.52,32.6,32.63,31.74,20530,66116675.0,2.77,1.31,0.42,2.57
2026-03-09,301222,32.0,32.71,32.75,31.64,20405,65815084.0,3.4,0.34,0.11,2.56
2026-03-10,301222,33.02,33.38,33.6,32.81,20152,67132890.0,2.42,2.05,0.67,2.52
2026-03-11,301222,33.4,33.28,33.79,33.07,26255,87778135.0,2.16,-0.3,-0.1,3.29
2026-03-12,301222,33.39,32.52,33.39,32.46,18198,59443178.0,2.79,-2.28,-0.76,2.28
2026-03-13,301222,32.21,33.11,34.45,32.21,29910,100228688.0,6.89,1.81,0.59,3.75
2026-03-16,301222,33.35,33.95,34.25,33.3,33052,111750745.0,2.87,2.54,0.84,4.14
2026-03-17,301222,33.95,32.62,34.28,32.51,22239,74111774.0,5.21,-3.92,-1.33,2.79
2026-03-18,301222,32.69,34.64,34.69,32.32,38865,131937794.0,7.27,6.19,2.02,4.87
2026-03-19,301222,34.2,33.87,34.5,33.45,23838,80543585.0,3.03,-2.22,-0.77,2.99
2026-03-20,301222,33.94,32.66,34.54,32.64,31172,104738215.0,5.61,-3.57,-1.21,3.91
2026-03-23,301222,31.39,30.3,32.49,30.0,31279,97889860.0,7.62,-7.23,-2.36,3.92
2026-03-24,301222,31.11,31.86,31.89,30.32,23314,72647871.0,5.18,5.15,1.56,2.92
2026-03-25,301222,31.98,32.94,33.19,31.8,23182,75426698.0,4.36,3.39,1.08,2.9
2026-03-26,301222,32.95,33.45,34.96,32.82,31919,108473130.0,6.5,1.55,0.51,4.0
2026-03-27,301222,33.77,33.55,33.8,32.8,20507,68144969.0,2.99,0.3,0.1,2.57
2026-03-30,301222,33.38,34.26,34.51,33.2,28414,96809100.0,3.9,2.12,0.71,3.56
2026-03-31,301222,33.92,34.02,34.46,33.33,26953,91454631.0,3.3,-0.7,-0.24,3.38
2026-04-01,301222,34.2,34.52,34.84,33.7,23078,79144502.0,3.35,1.47,0.5,2.89
2026-04-02,301222,34.29,33.7,34.42,33.44,17726,59954002.0,2.84,-2.38,-0.82,2.22
2026-04-03,301222,33.7,33.35,34.15,33.0,13604,45540217.0,3.41,-1.04,-0.35,1.7
2026-04-07,301222,33.31,33.83,34.58,33.31,23768,80754631.0,3.81,1.44,0.48,2.98
2026-04-08,301222,34.16,35.36,35.37,34.16,33293,116291128.0,3.58,4.52,1.53,4.17
2026-04-09,301222,35.06,35.98,37.85,34.88,60189,218775178.0,8.4,1.75,0.62,7.54
2026-04-10,301222,35.95,37.41,38.88,35.61,70022,261330375.0,9.09,3.97,1.43,8.77
2026-04-13,301222,36.72,37.0,37.66,36.24,46649,172081200.0,3.8,-1.1,-0.41,5.84
2026-04-14,301222,37.0,36.75,37.49,36.28,36257,133235670.0,3.27,-0.68,-0.25,4.54
2026-04-15,301222,37.0,36.53,37.44,36.33,28211,103597257.0,3.02,-0.6,-0.22,3.53
2026-04-16,301222,36.52,39.14,39.99,36.12,74682,287637405.0,10.59,7.14,2.61,9.36
2026-04-17,301222,38.01,38.98,39.05,37.76,46487,178493555.0,3.3,-0.41,-0.16,5.82
2026-04-20,301222,38.91,38.58,40.13,38.22,42044,163636041.0,4.9,-1.03,-0.4,5.27
2026-04-21,301222,38.2,38.4,38.46,37.47,37745,142951546.0,2.57,-0.47,-0.18,4.73
2026-04-22,301222,38.1,39.64,40.67,37.95,45159,177866774.0,7.08,3.23,1.24,5.66
2026-04-23,301222,39.5,42.77,43.5,38.4,64013,263432531.0,12.87,7.9,3.13,8.02
2026-04-24,301222,41.91,43.12,44.94,40.87,70184,303936393.0,9.52,0.82,0.35,8.79
2026-04-27,301222,43.46,47.06,48.06,43.43,73885,336642227.06,10.74,9.14,3.94,9.26
