日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,601022,9.74,9.76,9.93,9.73,129298,126715292.0,2.03,-0.91,-0.09,0.99
2026-02-27,601022,9.76,9.87,9.89,9.71,101593,99897561.0,1.84,1.13,0.11,0.78
2026-03-02,601022,10.38,10.22,10.39,9.93,611124,621195460.0,4.66,3.55,0.35,4.67
2026-03-03,601022,10.48,11.24,11.24,10.3,782329,848395333.0,9.2,9.98,1.02,5.98
2026-03-04,601022,10.68,10.25,10.7,10.12,744088,761804308.0,5.16,-8.81,-0.99,5.69
2026-03-05,601022,10.04,10.05,10.35,9.92,468114,473258524.0,4.2,-1.95,-0.2,3.58
2026-03-06,601022,9.92,9.91,10.05,9.64,338268,333018965.0,4.08,-1.39,-0.14,2.58
2026-03-09,601022,10.2,9.66,10.29,9.65,387196,381025827.0,6.46,-2.52,-0.25,2.96
2026-03-10,601022,9.63,9.65,9.82,9.57,247628,239613660.0,2.59,-0.1,-0.01,1.89
2026-03-11,601022,9.62,9.56,9.63,9.46,216891,206230756.0,1.76,-0.93,-0.09,1.66
2026-03-12,601022,9.56,9.53,9.58,9.44,178570,169856308.0,1.46,-0.31,-0.03,1.36
2026-03-13,601022,9.49,9.41,9.55,9.39,171656,162629923.0,1.68,-1.26,-0.12,1.31
2026-03-16,601022,9.44,9.56,9.6,9.4,186100,176729272.0,2.13,1.59,0.15,1.42
2026-03-17,601022,9.51,9.31,9.56,9.3,188163,177148447.0,2.72,-2.62,-0.25,1.44
2026-03-18,601022,9.28,9.35,9.38,9.19,110888,103175500.0,2.04,0.43,0.04,0.85
2026-03-19,601022,9.28,9.14,9.32,9.12,127022,116858452.0,2.14,-2.25,-0.21,0.97
2026-03-20,601022,9.13,9.05,9.22,9.04,96419,87959364.0,1.97,-0.98,-0.09,0.74
2026-03-23,601022,9.0,8.59,9.01,8.52,143334,125331878.0,5.41,-5.08,-0.46,1.1
2026-03-24,601022,8.71,8.98,8.99,8.61,156546,138213750.0,4.42,4.54,0.39,1.2
2026-03-25,601022,8.96,9.17,9.26,8.89,143505,131099724.0,4.12,2.12,0.19,1.1
2026-03-26,601022,9.3,9.16,9.32,9.15,92999,85753983.0,1.85,-0.11,-0.01,0.71
2026-03-27,601022,9.08,9.17,9.21,9.06,82054,75083721.0,1.64,0.11,0.01,0.63
2026-03-30,601022,9.08,9.22,9.23,9.06,94487,86515705.0,1.85,0.55,0.05,0.72
2026-03-31,601022,9.16,8.95,9.24,8.93,134189,121584422.0,3.36,-2.93,-0.27,1.03
2026-04-01,601022,9.06,9.11,9.23,9.06,95648,87393647.0,1.9,1.79,0.16,0.73
2026-04-02,601022,9.06,9.12,9.23,9.03,102060,93410569.0,2.2,0.11,0.01,0.78
2026-04-03,601022,9.18,8.89,9.24,8.86,95207,85696755.0,4.17,-2.52,-0.23,0.73
2026-04-07,601022,8.89,8.92,8.97,8.75,79554,70635791.0,2.47,0.34,0.03,0.61
2026-04-08,601022,9.08,9.15,9.16,9.0,110027,100255959.0,1.79,2.58,0.23,0.84
2026-04-09,601022,9.1,8.91,9.12,8.9,98391,88325559.0,2.4,-2.62,-0.24,0.75
2026-04-10,601022,8.91,8.86,8.95,8.85,83011,73853442.0,1.12,-0.56,-0.05,0.63
2026-04-13,601022,8.82,8.76,8.83,8.71,76045,66547767.0,1.35,-1.13,-0.1,0.58
2026-04-14,601022,8.8,8.77,8.81,8.69,74291,64841742.0,1.37,0.11,0.01,0.57
2026-04-15,601022,8.77,8.75,8.82,8.73,55077,48358075.0,1.03,-0.23,-0.02,0.42
2026-04-16,601022,8.81,8.82,8.82,8.75,70268,61725408.0,0.8,0.8,0.07,0.54
2026-04-17,601022,8.81,8.89,8.9,8.7,89089,78405456.0,2.27,0.79,0.07,0.68
2026-04-20,601022,8.9,8.92,8.93,8.82,82269,73023772.0,1.24,0.34,0.03,0.63
2026-04-21,601022,8.88,8.98,9.06,8.88,87845,78719382.0,2.02,0.67,0.06,0.67
2026-04-22,601022,8.95,8.85,8.95,8.81,91527,81139905.0,1.56,-1.45,-0.13,0.7
2026-04-23,601022,8.83,8.76,8.88,8.74,67046,58907076.0,1.58,-1.02,-0.09,0.51
2026-04-24,601022,8.78,8.65,8.78,8.62,66461,57626372.0,1.83,-1.26,-0.11,0.51
2026-04-27,601022,8.72,8.71,8.76,8.66,45860,39902016.0,1.16,0.69,0.06,0.35
