日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,000962,53.11,55.0,55.9,52.34,392234,2128646203.47,6.94,7.17,3.68,7.82
2026-02-27,000962,55.0,58.81,59.95,55.0,334642,1955648154.57,9.0,6.93,3.81,6.67
2026-03-02,000962,58.23,57.65,58.98,55.01,333420,1912874809.55,6.75,-1.97,-1.16,6.65
2026-03-03,000962,57.27,52.21,58.2,52.0,368846,1986788606.33,10.75,-9.44,-5.44,7.35
2026-03-04,000962,51.28,53.06,54.89,50.3,241149,1284498139.01,8.79,1.63,0.85,4.81
2026-03-05,000962,55.0,55.58,57.78,54.5,271107,1513318035.19,6.18,4.75,2.52,5.4
2026-03-06,000962,55.08,53.78,57.32,53.16,241724,1326766152.72,7.48,-3.24,-1.8,4.82
2026-03-09,000962,52.82,55.03,56.85,51.38,275692,1479862155.53,10.17,2.32,1.25,5.5
2026-03-10,000962,55.43,55.63,55.97,52.88,217866,1187336311.81,5.62,1.09,0.6,4.34
2026-03-11,000962,55.7,53.35,58.0,53.15,258937,1419509823.44,8.72,-4.1,-2.28,5.16
2026-03-12,000962,52.68,51.08,52.9,49.6,284376,1449980056.77,6.19,-4.25,-2.27,5.67
2026-03-13,000962,49.8,48.71,50.78,48.53,205051,1012315999.64,4.4,-4.64,-2.37,4.09
2026-03-16,000962,49.2,50.94,51.9,49.04,254215,1288550854.02,5.87,4.58,2.23,5.07
2026-03-17,000962,50.96,48.45,51.83,48.35,203162,1014053024.34,6.83,-4.89,-2.49,4.05
2026-03-18,000962,48.9,48.37,49.48,47.78,122075,590342363.26,3.51,-0.17,-0.08,2.43
2026-03-19,000962,47.15,45.52,48.0,45.2,232801,1073559045.0,5.79,-5.89,-2.85,4.64
2026-03-20,000962,46.5,44.55,46.59,44.5,155195,707866260.25,4.59,-2.13,-0.97,3.09
2026-03-23,000962,43.68,43.1,45.83,42.46,236138,1037037968.95,7.56,-3.25,-1.45,4.71
2026-03-24,000962,44.33,44.05,44.62,42.49,168753,733569639.29,4.94,2.2,0.95,3.36
2026-03-25,000962,45.97,46.44,47.45,45.4,260325,1209084545.38,4.65,5.43,2.39,5.19
2026-03-26,000962,47.41,45.62,47.88,45.1,174675,803722061.6,5.99,-1.77,-0.82,3.48
2026-03-27,000962,44.95,46.19,47.73,44.8,201741,936056309.26,6.42,1.25,0.57,4.02
2026-03-30,000962,45.68,47.22,47.49,45.29,185855,866897304.14,4.76,2.23,1.03,3.7
2026-03-31,000962,46.55,44.41,47.05,43.93,239711,1081770930.03,6.61,-5.95,-2.81,4.78
2026-04-01,000962,45.63,44.36,45.65,43.6,143979,637932390.61,4.62,-0.11,-0.05,2.87
2026-04-02,000962,44.2,42.07,44.36,41.58,219683,932116315.42,6.27,-5.16,-2.29,4.38
2026-04-03,000962,42.06,40.51,42.24,40.42,183947,753271500.8,4.33,-3.71,-1.56,3.67
2026-04-07,000962,40.51,40.46,41.08,40.11,115287,468247421.86,2.39,-0.12,-0.05,2.3
2026-04-08,000962,41.8,44.51,44.51,41.8,187611,814909818.7,6.7,10.01,4.05,3.74
2026-04-09,000962,44.51,45.33,46.21,43.81,263467,1187686481.88,5.39,1.84,0.82,5.25
2026-04-10,000962,45.77,44.88,46.06,44.73,145415,658385343.7,2.93,-0.99,-0.45,2.9
2026-04-13,000962,44.48,43.74,45.0,43.03,129506,566330365.02,4.39,-2.54,-1.14,2.58
2026-04-14,000962,44.45,44.85,45.7,43.88,184116,824709976.15,4.16,2.54,1.11,3.67
2026-04-15,000962,45.2,44.48,47.28,44.21,245091,1121640412.95,6.85,-0.82,-0.37,4.89
2026-04-16,000962,44.5,46.29,46.64,43.25,256038,1161094164.85,7.62,4.07,1.81,5.1
2026-04-17,000962,45.83,46.73,48.3,45.71,218302,1027227007.13,5.6,0.95,0.44,4.35
2026-04-20,000962,46.81,48.76,49.1,46.28,267187,1288181138.52,6.03,4.34,2.03,5.33
2026-04-21,000962,48.77,51.62,52.11,47.88,310921,1560289654.16,8.68,5.87,2.86,6.2
2026-04-22,000962,50.81,50.99,51.51,49.47,308133,1551639834.5,3.95,-1.22,-0.63,6.14
2026-04-23,000962,50.56,47.58,50.79,47.28,265490,1295040864.07,6.88,-6.69,-3.41,5.29
2026-04-24,000962,46.88,47.96,48.75,46.24,171914,820340816.4,5.28,0.8,0.38,3.43
2026-04-27,000962,47.8,46.54,48.28,46.03,168101,787181630.89,4.69,-2.96,-1.42,3.35
