日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,000913,15.72,15.55,15.85,15.48,42688,66422729.0,2.35,-1.08,-0.17,0.92
2026-02-27,000913,15.5,15.85,15.89,15.5,61958,97704511.57,2.51,1.93,0.3,1.34
2026-03-02,000913,15.7,15.65,15.78,15.53,49114,76826548.0,1.58,-1.26,-0.2,1.06
2026-03-03,000913,15.65,15.19,15.77,15.16,61638,94993164.94,3.9,-2.94,-0.46,1.33
2026-03-04,000913,15.11,15.04,15.17,14.77,51154,76634131.0,2.63,-0.99,-0.15,1.11
2026-03-05,000913,15.2,14.98,15.2,14.92,33727,50660374.4,1.86,-0.4,-0.06,0.73
2026-03-06,000913,14.95,15.48,15.64,14.9,74085,114185404.9,4.94,3.34,0.5,1.6
2026-03-09,000913,15.36,15.83,16.17,15.34,104728,166408074.71,5.36,2.26,0.35,2.27
2026-03-10,000913,15.86,15.96,16.12,15.63,74854,118960718.0,3.1,0.82,0.13,1.62
2026-03-11,000913,15.98,16.14,16.44,15.87,140747,228540767.28,3.57,1.13,0.18,3.05
2026-03-12,000913,16.14,16.05,16.3,16.0,69423,111947764.5,1.86,-0.56,-0.09,1.5
2026-03-13,000913,15.98,15.91,16.15,15.87,54120,86693283.8,1.74,-0.87,-0.14,1.17
2026-03-16,000913,15.87,16.02,16.04,15.75,60417,96222525.0,1.82,0.69,0.11,1.16
2026-03-17,000913,15.95,15.94,16.33,15.85,59810,96250991.38,3.0,-0.5,-0.08,1.15
2026-03-18,000913,15.91,15.78,16.01,15.58,44583,70142912.02,2.7,-1.0,-0.16,0.86
2026-03-19,000913,15.63,15.43,15.89,15.33,41157,64166730.0,3.55,-2.22,-0.35,0.79
2026-03-20,000913,15.45,14.91,15.57,14.9,61922,93561226.45,4.34,-3.37,-0.52,1.19
2026-03-23,000913,14.76,14.01,14.77,13.88,100731,143754588.07,5.97,-6.04,-0.9,1.94
2026-03-24,000913,14.24,14.38,14.39,14.0,51756,73307667.58,2.78,2.64,0.37,1.0
2026-03-25,000913,14.39,14.5,14.58,14.28,38987,56423403.0,2.09,0.83,0.12,0.75
2026-03-26,000913,14.48,14.21,14.61,14.12,39250,56158044.7,3.38,-2.0,-0.29,0.75
2026-03-27,000913,14.09,14.26,14.3,14.0,40610,57690260.0,2.11,0.35,0.05,0.78
2026-03-30,000913,14.72,15.15,15.25,14.6,109426,163086464.25,4.56,6.24,0.89,2.1
2026-03-31,000913,15.0,16.67,16.67,14.88,338704,549072938.0,11.82,10.03,1.52,6.51
2026-04-01,000913,16.51,15.85,16.51,15.61,354335,562539284.15,5.4,-4.92,-0.82,6.81
2026-04-02,000913,15.64,15.31,15.69,15.18,166836,256728147.7,3.22,-3.41,-0.54,3.21
2026-04-03,000913,15.37,14.54,15.5,14.54,143322,213729324.39,6.27,-5.03,-0.77,2.76
2026-04-07,000913,14.61,14.37,14.67,14.32,82757,119631327.51,2.41,-1.17,-0.17,1.59
2026-04-08,000913,14.64,14.78,14.87,14.6,115350,170216499.32,1.88,2.85,0.41,2.22
2026-04-09,000913,14.63,14.49,14.72,14.4,74289,107719363.6,2.17,-1.96,-0.29,1.43
2026-04-10,000913,14.6,14.7,14.76,14.5,67971,99785540.62,1.79,1.45,0.21,1.31
2026-04-13,000913,14.6,14.89,15.0,14.52,71696,106553968.78,3.27,1.29,0.19,1.38
2026-04-14,000913,14.94,14.85,14.98,14.67,48716,71994972.0,2.08,-0.27,-0.04,0.94
2026-04-15,000913,14.88,14.86,14.94,14.78,43634,64782320.4,1.08,0.07,0.01,0.84
2026-04-16,000913,14.9,15.24,15.31,14.85,71546,108369541.41,3.1,2.56,0.38,1.38
2026-04-17,000913,15.29,15.48,15.85,15.11,110075,170082704.71,4.86,1.57,0.24,2.12
2026-04-20,000913,15.4,15.43,15.63,15.13,90545,138899146.66,3.23,-0.32,-0.05,1.74
2026-04-21,000913,15.43,15.24,15.57,15.14,57373,87726638.31,2.79,-1.23,-0.19,1.1
2026-04-22,000913,14.6,14.02,14.7,13.9,244223,343200184.52,5.25,-8.01,-1.22,4.7
2026-04-23,000913,13.86,13.84,14.01,13.66,97548,134530776.56,2.5,-1.28,-0.18,1.88
2026-04-24,000913,13.71,13.68,13.84,13.57,64096,87530629.91,1.95,-1.16,-0.16,1.23
2026-04-27,000913,13.68,13.52,13.69,13.51,54735,74187467.08,1.32,-1.17,-0.16,1.05
