日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002151,43.24,43.76,44.05,43.11,166886,729257141.06,2.16,0.53,0.23,3.77
2026-02-27,002151,43.88,43.8,44.17,43.5,160409,702637239.94,1.53,0.09,0.04,3.62
2026-03-02,002151,44.6,45.65,47.01,43.75,800907,3648683725.69,7.44,4.22,1.85,18.09
2026-03-03,002151,45.4,41.09,45.47,41.09,573345,2433725592.67,9.59,-9.99,-4.56,12.95
2026-03-04,002151,40.8,41.59,42.17,40.61,267860,1116161002.34,3.8,1.22,0.5,6.05
2026-03-05,002151,42.16,41.88,42.5,41.17,225050,938306164.24,3.2,0.7,0.29,5.08
2026-03-06,002151,41.48,41.82,42.48,41.35,173939,728381205.21,2.7,-0.14,-0.06,3.93
2026-03-09,002151,42.3,44.84,46.0,42.1,879535,3936285679.47,9.33,7.22,3.02,19.86
2026-03-10,002151,44.01,44.31,44.98,43.51,574756,2538124539.43,3.28,-1.18,-0.53,12.98
2026-03-11,002151,44.44,45.65,45.9,44.0,572410,2593700530.55,4.29,3.02,1.34,12.93
2026-03-12,002151,45.01,43.85,45.1,43.31,404281,1783287418.93,3.92,-3.94,-1.8,9.13
2026-03-13,002151,43.36,45.7,48.24,41.95,679310,3091482903.81,14.34,4.22,1.85,15.34
2026-03-16,002151,45.75,47.99,48.0,45.12,724571,3399652214.27,6.3,5.01,2.29,16.36
2026-03-17,002151,48.0,46.56,48.01,46.2,481207,2248641963.22,3.77,-2.98,-1.43,10.87
2026-03-18,002151,47.43,47.08,47.7,45.08,441194,2047299679.64,5.63,1.12,0.52,9.96
2026-03-19,002151,45.44,44.6,46.17,44.5,329767,1497017870.33,3.55,-5.27,-2.48,7.45
2026-03-20,002151,44.76,41.18,45.0,40.66,405982,1725760151.12,9.73,-7.67,-3.42,9.17
2026-03-23,002151,39.38,37.61,39.71,37.15,384755,1478182413.66,6.22,-8.67,-3.57,8.69
2026-03-24,002151,38.12,37.94,38.48,36.64,278976,1045647142.85,4.89,0.88,0.33,6.3
2026-03-25,002151,37.96,38.29,38.98,37.96,242272,931662012.06,2.69,0.92,0.35,5.47
2026-03-26,002151,39.0,36.99,39.28,36.66,268088,1004320487.61,6.84,-3.4,-1.3,6.05
2026-03-27,002151,36.53,37.04,37.45,36.04,201163,739194551.15,3.81,0.14,0.05,4.54
2026-03-30,002151,36.44,37.87,38.08,36.3,218156,814102713.57,4.81,2.24,0.83,4.93
2026-03-31,002151,37.89,37.88,39.1,37.83,236903,910266787.58,3.35,0.03,0.01,5.35
2026-04-01,002151,38.4,37.61,38.58,37.23,172000,646924446.14,3.56,-0.71,-0.27,3.88
2026-04-02,002151,37.6,36.66,37.75,36.31,141151,520692953.95,3.83,-2.53,-0.95,3.19
2026-04-03,002151,36.83,35.78,37.0,35.72,148979,538090703.66,3.49,-2.4,-0.88,3.36
2026-04-07,002151,35.93,36.31,36.49,35.85,128936,467268384.91,1.79,1.48,0.53,2.91
2026-04-08,002151,37.03,38.29,38.3,37.02,197533,746002655.06,3.53,5.45,1.98,4.46
2026-04-09,002151,37.81,37.74,38.19,37.53,139704,528258356.61,1.72,-1.44,-0.55,3.15
2026-04-10,002151,37.92,37.79,38.45,37.76,132184,503281627.4,1.83,0.13,0.05,2.99
2026-04-13,002151,37.49,37.68,38.07,37.35,131011,495293209.06,1.91,-0.29,-0.11,2.96
2026-04-14,002151,38.04,38.47,38.47,37.53,186104,707786128.34,2.49,2.1,0.79,4.2
2026-04-15,002151,38.76,38.2,39.26,38.09,183810,711778239.14,3.04,-0.7,-0.27,4.15
2026-04-16,002151,38.21,38.38,38.52,37.95,127495,487975861.01,1.49,0.47,0.18,2.88
2026-04-17,002151,38.27,38.48,38.76,38.06,111097,426607768.02,1.82,0.26,0.1,2.51
2026-04-20,002151,38.48,40.12,40.2,38.32,339171,1348841987.78,4.89,4.26,1.64,7.66
2026-04-21,002151,40.0,39.77,40.5,39.46,212439,845014875.4,2.59,-0.87,-0.35,4.8
2026-04-22,002151,39.46,39.99,40.28,38.97,173792,691552920.69,3.29,0.55,0.22,3.92
2026-04-23,002151,39.99,39.33,40.3,39.11,184204,730638104.04,2.98,-1.65,-0.66,4.16
2026-04-24,002151,39.03,38.08,39.31,37.91,163870,627957864.41,3.56,-3.18,-1.25,3.7
2026-04-27,002151,39.8,40.21,41.0,39.8,340097,1373148829.06,3.15,5.59,2.13,7.68
