日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,920418,28.12,28.03,28.23,27.8,14897,41792442.93,1.53,-0.14,-0.04,0.96
2026-02-27,920418,28.1,27.93,28.19,27.82,14397,40270863.58,1.32,-0.36,-0.1,0.92
2026-03-02,920418,27.7,27.43,27.72,27.1,19533,53485988.4,2.22,-1.79,-0.5,1.25
2026-03-03,920418,27.52,26.35,27.81,26.33,27356,73929823.67,5.4,-3.94,-1.08,1.76
2026-03-04,920418,26.2,26.85,27.15,26.1,21269,56765124.23,3.98,1.9,0.5,1.37
2026-03-05,920418,27.13,26.88,27.21,26.69,17330,46573981.86,1.94,0.11,0.03,1.11
2026-03-06,920418,26.9,26.85,27.0,26.66,11640,31259775.35,1.26,-0.11,-0.03,0.75
2026-03-09,920418,26.5,26.62,26.68,26.01,17591,46281121.14,2.5,-0.86,-0.23,1.13
2026-03-10,920418,26.73,27.2,27.35,26.73,20337,55106063.41,2.33,2.18,0.58,1.31
2026-03-11,920418,27.2,27.16,27.46,27.06,13520,36758267.64,1.47,-0.15,-0.04,0.87
2026-03-12,920418,27.18,26.7,27.36,26.53,12495,33439087.17,3.06,-1.69,-0.46,0.8
2026-03-13,920418,26.59,26.27,26.75,26.21,21297,56274411.49,2.02,-1.61,-0.43,1.37
2026-03-16,920418,26.27,26.0,26.27,25.74,14271,37019945.0,2.02,-1.03,-0.27,0.92
2026-03-17,920418,26.1,25.75,26.23,25.73,11454,29737342.77,1.92,-0.96,-0.25,0.74
2026-03-18,920418,25.75,25.59,25.88,25.29,13539,34564472.9,2.29,-0.62,-0.16,0.87
2026-03-19,920418,25.48,24.67,25.48,24.46,20524,51100118.08,3.99,-3.6,-0.92,1.32
2026-03-20,920418,24.71,24.27,25.18,24.26,15490,38285453.42,3.73,-1.62,-0.4,0.99
2026-03-23,920418,23.99,22.66,24.12,22.64,25884,60352833.78,6.1,-6.63,-1.61,1.66
2026-03-24,920418,22.86,23.14,23.56,22.58,19742,45373210.6,4.32,2.12,0.48,1.27
2026-03-25,920418,23.3,23.66,23.72,23.15,15891,37306619.45,2.46,2.25,0.52,1.02
2026-03-26,920418,23.54,23.4,24.09,23.17,16774,39650737.69,3.89,-1.1,-0.26,1.08
2026-03-27,920418,23.05,23.35,23.54,22.92,12305,28575533.51,2.65,-0.21,-0.05,0.79
2026-03-30,920418,23.12,22.89,23.26,22.68,11631,26653610.41,2.48,-1.97,-0.46,0.75
2026-03-31,920418,22.99,23.28,23.66,22.85,22067,51432036.01,3.54,1.7,0.39,1.42
2026-04-01,920418,23.55,23.62,23.7,23.34,12849,30199052.65,1.55,1.46,0.34,0.83
2026-04-02,920418,23.55,23.77,24.24,23.4,19654,46984071.43,3.56,0.64,0.15,1.26
2026-04-03,920418,23.63,23.6,24.09,23.5,14464,34276898.39,2.48,-0.72,-0.17,0.93
2026-04-07,920418,23.5,23.58,23.94,23.31,9852,23188893.26,2.67,-0.08,-0.02,0.63
2026-04-08,920418,24.0,24.69,24.73,24.0,25399,61935263.68,3.1,4.71,1.11,1.63
2026-04-09,920418,24.44,24.03,24.44,24.0,15310,37059462.38,1.78,-2.67,-0.66,0.98
2026-04-10,920418,24.22,24.27,24.68,24.02,17341,42345972.02,2.75,1.0,0.24,1.11
2026-04-13,920418,24.04,24.08,24.42,24.0,11739,28384272.13,1.73,-0.78,-0.19,0.75
2026-04-14,920418,24.11,24.44,24.52,24.11,13425,32674406.54,1.7,1.5,0.36,0.86
2026-04-15,920418,24.7,24.49,24.97,24.43,14353,35427148.86,2.21,0.2,0.05,0.92
2026-04-16,920418,24.54,24.52,24.64,24.34,11079,27104466.14,1.22,0.12,0.03,0.71
2026-04-17,920418,24.5,25.9,26.29,24.4,37075,94448203.7,7.71,5.63,1.38,2.38
2026-04-20,920418,25.92,26.1,26.95,25.45,34912,91789570.61,5.79,0.77,0.2,2.24
2026-04-21,920418,26.18,25.67,26.18,25.51,16842,43325420.05,2.57,-1.65,-0.43,1.08
2026-04-22,920418,25.71,26.14,26.24,25.67,17148,44647840.83,2.22,1.83,0.47,1.1
2026-04-23,920418,26.26,25.48,26.26,25.22,16619,42541408.64,3.98,-2.52,-0.66,1.07
2026-04-24,920418,25.46,25.04,25.65,25.04,13893,35063037.72,2.39,-1.73,-0.44,0.89
2026-04-27,920418,25.05,25.06,25.36,24.54,15256,37973164.1,3.27,0.08,0.02,0.98
