日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002312,13.97,13.62,14.15,13.48,2215671,3042172551.47,4.87,-0.95,-0.13,11.76
2026-02-27,002312,13.44,13.68,13.85,13.4,1207195,1647785700.64,3.3,0.44,0.06,6.41
2026-03-02,002312,13.83,13.48,14.01,13.2,1180570,1592046795.65,5.92,-1.46,-0.2,6.27
2026-03-03,002312,13.43,12.79,13.55,12.76,1202146,1565781304.21,5.86,-5.12,-0.69,6.38
2026-03-04,002312,12.6,13.2,13.65,12.55,1170264,1544453507.08,8.6,3.21,0.41,6.21
2026-03-05,002312,13.49,13.03,13.58,12.97,803930,1053640196.02,4.62,-1.29,-0.17,4.27
2026-03-06,002312,13.0,13.26,13.4,12.8,941602,1244330604.36,4.6,1.77,0.23,5.0
2026-03-09,002312,13.54,13.13,13.54,13.06,1007139,1332311982.29,3.62,-0.98,-0.13,5.35
2026-03-10,002312,12.99,12.83,13.22,12.75,831171,1071948267.7,3.58,-2.28,-0.3,4.41
2026-03-11,002312,12.75,12.98,13.1,12.66,722121,931247658.29,3.43,1.17,0.15,3.83
2026-03-12,002312,13.12,13.04,13.27,12.78,969236,1267618906.62,3.78,0.46,0.06,5.15
2026-03-13,002312,13.06,13.33,13.67,13.06,1461989,1965139885.65,4.68,2.22,0.29,7.76
2026-03-16,002312,13.3,13.05,13.86,12.98,1195418,1595688891.26,6.6,-2.1,-0.28,6.35
2026-03-17,002312,12.96,12.7,13.57,12.67,977673,1271366664.57,6.9,-2.68,-0.35,5.19
2026-03-18,002312,12.6,12.35,12.69,12.19,735711,907378981.32,3.94,-2.76,-0.35,3.91
2026-03-19,002312,12.32,11.85,12.45,11.77,609270,731013560.13,5.51,-4.05,-0.5,3.23
2026-03-20,002312,11.76,11.36,11.85,11.36,617866,715805968.49,4.14,-4.14,-0.49,3.28
2026-03-23,002312,11.03,11.41,11.74,10.91,819636,933513048.62,7.31,0.44,0.05,4.35
2026-03-24,002312,11.5,11.29,11.59,10.96,587344,655811732.58,5.52,-1.05,-0.12,3.12
2026-03-25,002312,11.28,11.54,11.67,11.23,571966,656542614.64,3.9,2.21,0.25,3.04
2026-03-26,002312,11.55,11.38,11.66,11.35,369082,424337188.74,2.69,-1.39,-0.16,1.96
2026-03-27,002312,11.24,11.85,12.02,11.2,729253,857402477.24,7.21,4.13,0.47,3.87
2026-03-30,002312,11.77,11.95,12.06,11.74,515976,616306852.41,2.7,0.84,0.1,2.74
2026-03-31,002312,11.87,11.53,12.0,11.51,383354,448540601.44,4.1,-3.51,-0.42,2.03
2026-04-01,002312,11.75,11.59,11.82,11.49,318065,369035552.43,2.86,0.52,0.06,1.69
2026-04-02,002312,11.56,11.3,11.58,11.27,255540,291367574.24,2.67,-2.5,-0.29,1.36
2026-04-03,002312,11.36,10.94,11.39,10.94,305353,337207700.87,3.98,-3.19,-0.36,1.62
2026-04-07,002312,10.94,11.34,11.38,10.9,357643,401256133.82,4.39,3.66,0.4,1.9
2026-04-08,002312,11.4,11.58,11.58,11.21,387767,444733719.34,3.26,2.12,0.24,2.06
2026-04-09,002312,11.57,11.4,11.57,11.37,263070,300812996.5,1.73,-1.55,-0.18,1.4
2026-04-10,002312,11.46,11.47,11.64,11.39,304538,350992165.52,2.19,0.61,0.07,1.62
2026-04-13,002312,11.46,11.57,11.62,11.39,288155,331535928.8,2.01,0.87,0.1,1.53
2026-04-14,002312,11.63,11.58,11.63,11.44,242725,279688267.23,1.64,0.09,0.01,1.29
2026-04-15,002312,11.61,11.35,11.64,11.3,341581,390106647.81,2.94,-1.99,-0.23,1.81
2026-04-16,002312,11.35,11.47,11.55,11.29,271217,310913879.32,2.29,1.06,0.12,1.44
2026-04-17,002312,11.5,11.48,11.6,11.4,286929,329952200.29,1.74,0.09,0.01,1.52
2026-04-20,002312,11.44,11.47,11.55,11.37,272604,312201058.56,1.57,-0.09,-0.01,1.45
2026-04-21,002312,11.5,11.55,11.63,11.31,344030,395243763.8,2.79,0.7,0.08,1.83
2026-04-22,002312,11.56,11.62,11.69,11.51,339002,393951231.72,1.56,0.61,0.07,1.8
2026-04-23,002312,11.62,11.43,11.66,11.34,339695,388563424.88,2.75,-1.64,-0.19,1.8
2026-04-24,002312,11.37,11.66,11.76,11.37,491843,569262663.49,3.41,2.01,0.23,2.61
2026-04-27,002312,11.67,11.44,11.68,11.38,384870,441147010.48,2.57,-1.89,-0.22,2.04
