日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002533,14.87,15.48,15.9,14.8,440707,679019025.89,7.36,3.55,0.53,6.91
2026-02-27,002533,15.33,15.36,15.49,15.19,269809,412856966.93,1.94,-0.78,-0.12,4.23
2026-03-02,002533,15.13,15.38,15.65,15.01,314582,483576180.14,4.17,0.13,0.02,4.93
2026-03-03,002533,15.31,14.72,15.59,14.7,316921,477518093.0,5.79,-4.29,-0.66,4.97
2026-03-04,002533,14.49,15.33,15.57,14.45,368176,561832461.39,7.61,4.14,0.61,5.77
2026-03-05,002533,15.5,15.77,16.17,15.47,440831,698357255.01,4.57,2.87,0.44,6.91
2026-03-06,002533,15.74,16.35,16.6,15.61,464043,750506083.14,6.28,3.68,0.58,7.28
2026-03-09,002533,16.04,16.15,16.38,15.86,374510,602723762.69,3.18,-1.22,-0.2,5.87
2026-03-10,002533,16.21,16.1,16.5,15.92,304236,492096654.17,3.59,-0.31,-0.05,4.77
2026-03-11,002533,16.08,15.9,16.08,15.72,271210,430003301.57,2.24,-1.24,-0.2,4.25
2026-03-12,002533,15.85,15.67,15.89,15.4,252473,394722118.02,3.08,-1.45,-0.23,3.96
2026-03-13,002533,15.61,15.34,15.75,15.3,196669,304903406.0,2.87,-2.11,-0.33,3.08
2026-03-16,002533,15.37,15.0,15.44,14.76,206965,309511497.74,4.43,-2.22,-0.34,3.25
2026-03-17,002533,15.0,14.47,15.1,14.47,192520,283943026.6,4.2,-3.53,-0.53,3.02
2026-03-18,002533,14.6,14.77,14.82,14.41,142516,208612774.69,2.83,2.07,0.3,2.24
2026-03-19,002533,14.57,14.11,14.65,14.0,179907,257248339.6,4.4,-4.47,-0.66,2.82
2026-03-20,002533,14.18,13.79,14.36,13.79,163786,230118989.84,4.04,-2.27,-0.32,2.57
2026-03-23,002533,13.4,13.42,13.88,13.19,205238,277568940.36,5.0,-2.68,-0.37,3.22
2026-03-24,002533,13.75,13.72,13.79,13.3,174221,236555407.95,3.65,2.24,0.3,2.73
2026-03-25,002533,13.96,14.41,14.75,13.88,263808,378990259.48,6.34,5.03,0.69,4.14
2026-03-26,002533,14.38,14.06,14.38,13.95,139019,196323115.2,2.98,-2.43,-0.35,2.18
2026-03-27,002533,13.9,14.15,14.24,13.83,106305,149618537.92,2.92,0.64,0.09,1.67
2026-03-30,002533,13.92,13.97,14.02,13.46,193902,266695244.73,3.96,-1.27,-0.18,3.04
2026-03-31,002533,13.88,13.21,13.88,13.18,267920,360513531.15,5.01,-5.44,-0.76,4.2
2026-04-01,002533,13.55,13.58,13.8,13.46,165277,224306312.62,2.57,2.8,0.37,2.59
2026-04-02,002533,13.53,13.35,13.71,13.21,137014,183443274.09,3.68,-1.69,-0.23,2.15
2026-04-03,002533,13.33,12.98,13.39,12.94,104715,137026075.56,3.37,-2.77,-0.37,1.64
2026-04-07,002533,13.0,12.71,13.06,12.65,144789,185700319.0,3.16,-2.08,-0.27,2.27
2026-04-08,002533,13.1,13.29,13.31,13.05,205465,271100289.95,2.05,4.56,0.58,3.22
2026-04-09,002533,13.12,13.1,13.24,12.96,128170,167523406.9,2.11,-1.43,-0.19,2.01
2026-04-10,002533,13.2,13.27,13.4,13.19,131620,175047657.97,1.6,1.3,0.17,2.06
2026-04-13,002533,13.15,13.02,13.26,12.89,159002,206947082.32,2.79,-1.88,-0.25,2.49
2026-04-14,002533,13.14,13.26,13.26,13.0,133158,174966158.8,2.0,1.84,0.24,2.09
2026-04-15,002533,13.39,13.66,13.82,13.31,306173,418356644.41,3.85,3.02,0.4,4.8
2026-04-16,002533,13.7,13.79,13.8,13.41,188219,256919735.1,2.86,0.95,0.13,2.95
2026-04-17,002533,13.75,13.66,13.8,13.54,139997,190940052.35,1.89,-0.94,-0.13,2.2
2026-04-20,002533,13.7,13.9,13.91,13.56,178789,246354050.44,2.56,1.76,0.24,2.8
2026-04-21,002533,13.99,14.23,14.28,13.89,256953,362220780.13,2.81,2.37,0.33,4.03
2026-04-22,002533,14.12,14.26,14.36,14.03,175378,248537198.7,2.32,0.21,0.03,2.75
2026-04-23,002533,14.3,13.91,14.36,13.81,179370,251345131.64,3.86,-2.45,-0.35,2.81
2026-04-24,002533,13.89,13.78,13.96,13.73,102517,141798647.66,1.65,-0.93,-0.13,1.61
2026-04-27,002533,13.71,13.51,13.75,13.44,151260,204628486.74,2.25,-1.96,-0.27,2.37
