日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002668,10.13,9.99,10.17,9.95,173147,173686750.37,2.18,-1.19,-0.12,1.6
2026-02-27,002668,9.96,9.97,10.02,9.91,92799,92501837.74,1.1,-0.2,-0.02,0.86
2026-03-02,002668,9.81,9.72,9.87,9.56,204471,198934002.4,3.11,-2.51,-0.25,1.89
2026-03-03,002668,9.73,9.64,9.85,9.62,150625,146730294.0,2.37,-0.82,-0.08,1.39
2026-03-04,002668,9.58,9.44,9.6,9.36,141212,133868621.18,2.49,-2.07,-0.2,1.3
2026-03-05,002668,9.57,9.53,9.59,9.48,133741,127498929.52,1.17,0.95,0.09,1.23
2026-03-06,002668,9.48,9.74,9.76,9.48,131550,126858976.96,2.94,2.2,0.21,1.21
2026-03-09,002668,9.7,9.7,9.71,9.54,147470,141893320.0,1.75,-0.41,-0.04,1.36
2026-03-10,002668,9.72,10.03,10.07,9.57,296221,290942010.27,5.15,3.4,0.33,2.73
2026-03-11,002668,9.8,9.75,9.83,9.64,287219,278994313.73,1.89,-2.79,-0.28,2.65
2026-03-12,002668,9.74,9.56,9.76,9.51,229981,220596861.8,2.56,-1.95,-0.19,2.12
2026-03-13,002668,9.49,9.6,9.7,9.48,143302,137601859.24,2.3,0.42,0.04,1.32
2026-03-16,002668,9.58,9.39,9.6,9.37,217362,204804635.13,2.4,-2.19,-0.21,2.0
2026-03-17,002668,9.39,9.36,9.44,9.34,114445,107399965.78,1.06,-0.32,-0.03,1.06
2026-03-18,002668,9.36,9.36,9.41,9.33,80935,75724237.44,0.85,0.0,0.0,0.75
2026-03-19,002668,9.32,9.12,9.33,9.1,133278,122818019.29,2.46,-2.56,-0.24,1.23
2026-03-20,002668,9.12,9.02,9.19,9.0,89199,80923299.81,2.08,-1.1,-0.1,0.82
2026-03-23,002668,8.95,8.62,8.96,8.55,152673,132804486.49,4.55,-4.43,-0.4,1.41
2026-03-24,002668,8.68,8.77,8.79,8.55,114910,99647670.72,2.78,1.74,0.15,1.06
2026-03-25,002668,8.78,8.96,8.99,8.77,108109,95954347.78,2.51,2.17,0.19,1.0
2026-03-26,002668,8.96,8.96,9.15,8.92,110453,99685307.1,2.57,0.0,0.0,1.02
2026-03-27,002668,8.87,9.0,9.02,8.83,64234,57235713.56,2.12,0.45,0.04,0.59
2026-03-30,002668,8.92,8.94,8.96,8.85,70361,62688667.71,1.22,-0.67,-0.06,0.65
2026-03-31,002668,8.95,8.9,9.1,8.9,84576,76145500.91,2.24,-0.45,-0.04,0.78
2026-04-01,002668,9.0,9.1,9.13,8.97,101838,92407807.5,1.8,2.25,0.2,0.94
2026-04-02,002668,9.08,9.06,9.11,9.0,69972,63415661.0,1.21,-0.44,-0.04,0.65
2026-04-03,002668,9.06,9.04,9.13,8.98,64970,58748902.69,1.66,-0.22,-0.02,0.6
2026-04-07,002668,9.05,8.95,9.08,8.88,77141,69210415.28,2.21,-1.0,-0.09,0.71
2026-04-08,002668,9.04,9.11,9.12,9.04,126633,114981923.36,0.89,1.79,0.16,1.17
2026-04-09,002668,9.06,9.0,9.1,9.0,65768,59459135.65,1.1,-1.21,-0.11,0.61
2026-04-10,002668,9.06,9.18,9.24,9.03,122527,112134446.78,2.33,2.0,0.18,1.13
2026-04-13,002668,9.13,9.25,9.32,9.09,88299,81452978.11,2.51,0.76,0.07,0.81
2026-04-14,002668,9.28,9.19,9.31,9.1,101177,92744919.07,2.27,-0.65,-0.06,0.93
2026-04-15,002668,9.24,9.19,9.26,9.16,67009,61636666.62,1.09,0.0,0.0,0.62
2026-04-16,002668,9.21,9.34,9.39,9.19,105806,98420014.92,2.18,1.63,0.15,0.98
2026-04-17,002668,9.32,9.33,9.36,9.26,56196,52320082.8,1.07,-0.11,-0.01,0.52
2026-04-20,002668,9.33,9.35,9.55,9.33,103331,97305154.8,2.36,0.21,0.02,0.95
2026-04-21,002668,9.63,9.9,9.97,9.63,392189,386340740.03,3.64,5.88,0.55,3.62
2026-04-22,002668,9.83,9.88,9.98,9.76,195672,193343032.14,2.22,-0.2,-0.02,1.8
2026-04-23,002668,9.83,9.78,9.88,9.73,121952,119387014.0,1.52,-1.01,-0.1,1.12
2026-04-24,002668,9.74,9.73,9.78,9.57,111788,108355722.48,2.15,-0.51,-0.05,1.03
2026-04-27,002668,9.72,9.62,9.75,9.58,121791,117497840.58,1.75,-1.13,-0.11,1.12
