日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,301320,18.93,18.85,18.96,18.67,20232,38025992.0,1.54,0.05,0.01,2.97
2026-02-27,301320,18.85,18.76,18.96,18.63,14939,27955338.0,1.75,-0.48,-0.09,2.19
2026-03-02,301320,18.5,17.81,18.6,17.78,35839,64607307.0,4.37,-5.06,-0.95,5.25
2026-03-03,301320,17.89,17.09,18.03,17.05,32140,56425592.0,5.5,-4.04,-0.72,4.71
2026-03-04,301320,16.92,17.59,17.93,16.85,52744,91632095.0,6.32,2.93,0.5,7.73
2026-03-05,301320,17.59,18.27,19.01,17.59,77136,142161272.0,8.07,3.87,0.68,11.31
2026-03-06,301320,18.16,18.22,18.54,18.0,38733,70777254.0,2.96,-0.27,-0.05,5.68
2026-03-09,301320,18.15,18.26,18.37,17.97,33222,60356122.0,2.2,0.22,0.04,4.87
2026-03-10,301320,18.4,18.83,18.85,18.35,32639,60980842.0,2.74,3.12,0.57,4.79
2026-03-11,301320,18.95,18.69,18.95,18.61,26059,48909438.0,1.81,-0.74,-0.14,3.82
2026-03-12,301320,18.79,18.16,18.79,18.11,21014,38559066.0,3.64,-2.84,-0.53,3.08
2026-03-13,301320,18.12,17.89,18.42,17.63,26679,48226025.0,4.35,-1.49,-0.27,3.91
2026-03-16,301320,17.75,18.56,18.79,17.68,47900,88298917.0,6.2,3.75,0.67,7.02
2026-03-17,301320,18.75,18.02,18.81,18.0,30746,56379888.0,4.36,-2.91,-0.54,4.51
2026-03-18,301320,18.04,18.35,18.35,17.85,22353,40508149.0,2.77,1.83,0.33,3.28
2026-03-19,301320,18.0,17.72,18.21,17.68,23669,42438371.0,2.89,-3.43,-0.63,3.47
2026-03-20,301320,17.78,16.85,17.94,16.85,33552,57849546.0,6.15,-4.91,-0.87,4.92
2026-03-23,301320,16.66,15.63,16.7,15.47,45710,73714006.0,7.3,-7.24,-1.22,6.7
2026-03-24,301320,15.94,16.6,16.65,15.65,41858,67970434.0,6.4,6.21,0.97,6.14
2026-03-25,301320,16.6,16.77,17.02,16.6,24686,41573889.0,2.53,1.02,0.17,3.62
2026-03-26,301320,16.68,16.5,16.94,16.37,21293,35357211.0,3.4,-1.61,-0.27,3.12
2026-03-27,301320,16.27,16.77,16.88,16.2,16275,27127433.0,4.12,1.64,0.27,2.39
2026-03-30,301320,16.66,17.05,17.06,16.57,17079,28779561.0,2.92,1.67,0.28,2.5
2026-03-31,301320,17.08,16.76,17.24,16.71,24243,41065359.0,3.11,-1.7,-0.29,3.55
2026-04-01,301320,17.01,16.98,17.16,16.86,21311,36190414.0,1.79,1.31,0.22,3.12
2026-04-02,301320,16.98,16.53,17.02,16.38,16364,27241369.0,3.77,-2.65,-0.45,2.4
2026-04-03,301320,16.68,15.91,16.74,15.72,25331,40600446.0,6.17,-3.75,-0.62,3.71
2026-04-07,301320,15.98,16.24,16.45,15.86,17844,28962127.0,3.71,2.07,0.33,2.62
2026-04-08,301320,16.49,17.44,17.52,16.25,48107,83027996.0,7.82,7.39,1.2,7.05
2026-04-09,301320,17.46,16.85,17.48,16.82,24630,42069794.0,3.78,-3.38,-0.59,3.61
2026-04-10,301320,16.98,17.06,17.26,16.98,15314,26223814.0,1.66,1.25,0.21,2.25
2026-04-13,301320,17.06,17.01,17.12,16.81,13895,23623125.0,1.82,-0.29,-0.05,2.04
2026-04-14,301320,17.14,17.1,17.23,16.91,10615,18112445.0,1.88,0.53,0.09,1.56
2026-04-15,301320,17.18,17.09,17.27,17.01,14117,24197909.0,1.52,-0.06,-0.01,2.07
2026-04-16,301320,17.17,17.4,17.42,17.0,14794,25529980.0,2.46,1.81,0.31,2.17
2026-04-17,301320,17.4,17.17,17.4,17.1,16412,28231720.0,1.72,-1.32,-0.23,2.41
2026-04-20,301320,17.22,17.37,17.41,17.14,13165,22765418.0,1.57,1.16,0.2,1.93
2026-04-21,301320,17.4,17.25,17.4,17.1,14064,24271245.0,1.73,-0.69,-0.12,2.06
2026-04-22,301320,17.25,17.32,17.4,17.05,13711,23661551.0,2.03,0.41,0.07,2.01
2026-04-23,301320,17.36,17.03,17.42,16.98,14918,25580200.0,2.54,-1.67,-0.29,2.19
2026-04-24,301320,16.94,17.03,17.25,16.73,18172,30894648.0,3.05,0.0,0.0,2.66
2026-04-27,301320,17.03,17.39,17.44,16.88,19136,32957923.53,3.29,2.11,0.36,2.81
