日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002983,25.52,25.97,26.19,25.4,63331,163825013.96,3.1,1.92,0.49,4.94
2026-02-27,002983,25.72,24.91,25.72,24.79,69856,174222139.69,3.58,-4.08,-1.06,5.45
2026-03-02,002983,24.3,24.27,24.85,23.96,51095,124306753.95,3.57,-2.57,-0.64,3.99
2026-03-03,002983,24.27,23.35,24.55,23.34,47378,112961287.63,4.99,-3.79,-0.92,3.7
2026-03-04,002983,23.12,23.1,23.51,22.96,30991,71825601.78,2.36,-1.07,-0.25,2.42
2026-03-05,002983,24.1,25.41,25.41,23.79,44761,112587266.57,7.01,10.0,2.31,3.49
2026-03-06,002983,25.15,25.24,25.4,24.56,87219,217837521.83,3.31,-0.67,-0.17,6.81
2026-03-09,002983,24.77,25.3,25.4,24.58,51359,128571441.48,3.25,0.24,0.06,4.01
2026-03-10,002983,25.7,25.9,26.1,25.23,59425,153065948.52,3.44,2.37,0.6,4.64
2026-03-11,002983,25.8,25.98,26.1,25.61,48775,126323023.45,1.89,0.31,0.08,3.81
2026-03-12,002983,25.81,25.55,26.07,25.39,37806,96937432.58,2.62,-1.66,-0.43,2.95
2026-03-13,002983,25.44,25.63,26.05,25.41,44792,115446866.92,2.5,0.31,0.08,3.5
2026-03-16,002983,25.6,25.35,25.63,24.96,32997,83375083.68,2.61,-1.09,-0.28,2.57
2026-03-17,002983,25.63,25.14,25.96,25.14,42083,107605162.89,3.23,-0.83,-0.21,3.28
2026-03-18,002983,25.14,25.32,25.49,24.8,37241,93731446.52,2.74,0.72,0.18,2.91
2026-03-19,002983,25.02,24.46,25.18,24.31,32400,79914469.03,3.44,-3.4,-0.86,2.53
2026-03-20,002983,24.7,23.95,25.03,23.95,32229,79190205.92,4.42,-2.09,-0.51,2.51
2026-03-23,002983,23.52,22.08,23.63,22.0,42853,97677069.44,6.81,-7.81,-1.87,3.34
2026-03-24,002983,23.12,23.02,23.12,22.28,31071,70471358.18,3.8,4.26,0.94,2.42
2026-03-25,002983,23.16,23.27,23.63,23.02,27109,63236740.42,2.65,1.09,0.25,2.12
2026-03-26,002983,23.05,22.42,23.26,22.28,25678,58196079.27,4.21,-3.65,-0.85,2.0
2026-03-27,002983,22.17,22.59,22.63,22.02,19047,42730411.12,2.72,0.76,0.17,1.49
2026-03-30,002983,22.48,22.4,22.49,21.9,19465,43310662.58,2.61,-0.84,-0.19,1.52
2026-03-31,002983,22.45,21.66,22.49,21.65,24346,53561858.64,3.75,-3.3,-0.74,1.9
2026-04-01,002983,22.1,22.17,22.27,21.88,18580,41006437.0,1.8,2.35,0.51,1.45
2026-04-02,002983,22.1,21.97,22.35,21.74,17922,39493432.02,2.75,-0.9,-0.2,1.4
2026-04-03,002983,21.97,21.67,22.27,21.65,15527,33885416.61,2.82,-1.37,-0.3,1.21
2026-04-07,002983,21.82,21.81,21.99,21.6,14426,31465549.0,1.8,0.65,0.14,1.13
2026-04-08,002983,22.2,23.13,23.15,22.2,32122,73415367.97,4.36,6.05,1.32,2.51
2026-04-09,002983,23.0,23.3,23.49,22.8,20841,48456623.13,2.98,0.73,0.17,1.63
2026-04-10,002983,23.53,24.33,25.28,23.45,43783,107390863.43,7.85,4.42,1.03,3.42
2026-04-13,002983,24.02,23.77,24.58,23.7,32537,77867069.56,3.62,-2.3,-0.56,2.54
2026-04-14,002983,24.19,24.09,24.24,23.75,29395,70371457.42,2.06,1.35,0.32,2.29
2026-04-15,002983,24.1,23.77,24.17,23.67,19184,45829465.84,2.08,-1.33,-0.32,1.5
2026-04-16,002983,23.79,24.0,24.06,23.52,20112,48052403.25,2.27,0.97,0.23,1.57
2026-04-17,002983,23.85,24.66,24.75,23.81,29338,71742520.77,3.92,2.75,0.66,2.29
2026-04-20,002983,24.63,24.76,24.96,24.46,22312,55140409.44,2.03,0.41,0.1,1.74
2026-04-21,002983,24.76,25.17,25.2,24.4,32155,79733525.6,3.23,1.66,0.41,2.51
2026-04-22,002983,24.01,24.73,24.87,23.53,58727,142189515.92,5.32,-1.75,-0.44,4.58
2026-04-23,002983,24.59,23.8,24.6,23.73,32836,78923950.48,3.52,-3.76,-0.93,2.56
2026-04-24,002983,23.76,23.68,24.01,23.42,20210,47790875.96,2.48,-0.5,-0.12,1.58
2026-04-27,002983,23.9,24.13,24.18,23.56,25654,61477608.88,2.62,1.9,0.45,2.0
