日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002640,3.98,4.01,4.02,3.97,472575,189077071.0,1.25,0.5,0.02,3.05
2026-02-27,002640,4.0,4.05,4.05,3.98,410988,164736920.26,1.75,1.0,0.04,2.65
2026-03-02,002640,3.98,3.89,3.99,3.87,623115,243699448.0,2.96,-3.95,-0.16,4.02
2026-03-03,002640,3.88,3.65,3.88,3.64,701111,262587017.2,6.17,-6.17,-0.24,4.53
2026-03-04,002640,3.57,3.72,3.87,3.47,571518,211147236.0,10.96,1.92,0.07,3.69
2026-03-05,002640,3.73,3.68,3.78,3.67,430470,159422428.0,2.96,-1.08,-0.04,2.78
2026-03-06,002640,3.64,3.77,3.83,3.62,636597,239162768.0,5.71,2.45,0.09,4.11
2026-03-09,002640,3.71,3.79,3.8,3.71,476006,179164077.62,2.39,0.53,0.02,3.07
2026-03-10,002640,3.81,3.83,3.93,3.75,770098,295069539.6,4.75,1.06,0.04,4.97
2026-03-11,002640,3.8,3.76,3.82,3.75,431492,162518586.0,1.83,-1.83,-0.07,2.79
2026-03-12,002640,3.76,3.71,3.76,3.71,276293,103103810.0,1.33,-1.33,-0.05,1.78
2026-03-13,002640,3.7,3.7,3.76,3.69,342732,127597213.0,1.89,-0.27,-0.01,2.21
2026-03-16,002640,3.72,3.8,3.83,3.72,664546,252292237.0,2.97,2.7,0.1,4.29
2026-03-17,002640,3.78,3.82,3.88,3.76,679856,261244447.0,3.16,0.53,0.02,4.39
2026-03-18,002640,3.84,3.71,3.84,3.66,618678,229769433.0,4.71,-2.88,-0.11,4.0
2026-03-19,002640,3.67,3.66,3.78,3.64,434799,160540882.0,3.77,-1.35,-0.05,2.81
2026-03-20,002640,3.65,3.5,3.67,3.5,460842,164248776.77,4.64,-4.37,-0.16,2.98
2026-03-23,002640,3.42,3.33,3.48,3.3,517429,175246435.52,5.14,-4.86,-0.17,3.34
2026-03-24,002640,3.4,3.48,3.49,3.34,535801,182909499.0,4.5,4.5,0.15,3.46
2026-03-25,002640,3.48,3.57,3.57,3.47,472510,166618877.0,2.87,2.59,0.09,3.05
2026-03-26,002640,3.57,3.5,3.63,3.48,436579,155103541.0,4.2,-1.96,-0.07,2.82
2026-03-27,002640,3.55,3.55,3.58,3.49,450990,159652138.0,2.57,1.43,0.05,2.91
2026-03-30,002640,3.47,3.57,3.59,3.47,399846,141990656.0,3.38,0.56,0.02,2.58
2026-03-31,002640,3.6,3.57,3.72,3.57,536235,195092591.0,4.2,0.0,0.0,3.46
2026-04-01,002640,3.61,3.59,3.63,3.55,389197,139374933.74,2.24,0.56,0.02,2.51
2026-04-02,002640,3.56,3.48,3.58,3.47,330404,116045141.56,3.06,-3.06,-0.11,2.13
2026-04-03,002640,3.53,3.36,3.54,3.36,309120,105337075.0,5.17,-3.45,-0.12,2.0
2026-04-07,002640,3.42,3.51,3.54,3.41,559548,195293132.16,3.87,4.46,0.15,3.61
2026-04-08,002640,3.56,3.64,3.64,3.52,576571,207126257.38,3.42,3.7,0.13,3.72
2026-04-09,002640,3.6,3.48,3.61,3.47,595997,209382393.0,3.85,-4.4,-0.16,3.85
2026-04-10,002640,3.51,3.52,3.59,3.49,515745,182313785.0,2.87,1.15,0.04,3.33
2026-04-13,002640,3.48,3.52,3.53,3.46,344322,120251480.02,1.99,0.0,0.0,2.22
2026-04-14,002640,3.53,3.51,3.55,3.46,300572,105033089.0,2.56,-0.28,-0.01,1.94
2026-04-15,002640,3.52,3.45,3.53,3.44,316059,109767330.0,2.56,-1.71,-0.06,2.04
2026-04-16,002640,3.48,3.51,3.52,3.44,349112,121802202.0,2.32,1.74,0.06,2.25
2026-04-17,002640,3.5,3.48,3.51,3.43,358759,124177195.12,2.28,-0.85,-0.03,2.32
2026-04-20,002640,3.47,3.53,3.54,3.46,444341,156236699.0,2.3,1.44,0.05,2.87
2026-04-21,002640,3.53,3.45,3.54,3.42,521711,180042475.0,3.4,-2.27,-0.08,3.37
2026-04-22,002640,3.44,3.4,3.44,3.38,308243,104675012.63,1.74,-1.45,-0.05,1.99
2026-04-23,002640,3.41,3.34,3.42,3.33,324119,108791752.0,2.65,-1.76,-0.06,2.09
2026-04-24,002640,3.33,3.35,3.35,3.28,311438,103184370.0,2.1,0.3,0.01,2.01
2026-04-27,002640,3.34,3.29,3.34,3.21,410551,133978168.0,3.88,-1.79,-0.06,2.65
