日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,000557,5.04,5.02,5.07,5.01,80746,40611672.55,1.19,-0.4,-0.02,0.55
2026-02-27,000557,5.02,5.06,5.07,5.01,91032,45941968.88,1.2,0.8,0.04,0.62
2026-03-02,000557,5.01,5.04,5.08,4.95,148038,74361226.36,2.57,-0.4,-0.02,1.02
2026-03-03,000557,5.06,5.09,5.12,5.04,245053,124608078.48,1.59,0.99,0.05,1.68
2026-03-04,000557,5.06,4.93,5.06,4.91,203770,101237379.56,2.95,-3.14,-0.16,1.4
2026-03-05,000557,5.0,4.94,5.0,4.92,117894,58427627.92,1.62,0.2,0.01,0.81
2026-03-06,000557,4.92,5.04,5.05,4.92,126925,63510571.0,2.63,2.02,0.1,0.87
2026-03-09,000557,5.01,5.03,5.07,4.98,136607,68613684.32,1.79,-0.2,-0.01,0.94
2026-03-10,000557,5.04,5.05,5.07,5.02,95115,47994607.52,0.99,0.4,0.02,0.65
2026-03-11,000557,5.04,5.13,5.14,5.01,199845,101636115.43,2.57,1.58,0.08,1.37
2026-03-12,000557,5.12,5.16,5.18,5.09,179706,92470378.53,1.75,0.58,0.03,1.23
2026-03-13,000557,5.16,5.16,5.23,5.12,251196,130069817.93,2.13,0.0,0.0,1.72
2026-03-16,000557,5.16,5.15,5.19,5.13,145568,75063478.0,1.16,-0.19,-0.01,1.0
2026-03-17,000557,5.16,5.1,5.18,5.09,107340,55176771.39,1.75,-0.97,-0.05,0.74
2026-03-18,000557,5.13,5.08,5.14,5.02,111837,56683530.84,2.35,-0.39,-0.02,0.77
2026-03-19,000557,5.05,5.01,5.1,5.01,97391,49150866.0,1.77,-1.38,-0.07,0.67
2026-03-20,000557,5.03,4.9,5.05,4.9,156933,77745819.6,2.99,-2.2,-0.11,1.08
2026-03-23,000557,4.81,4.5,4.85,4.45,331509,152734860.84,8.16,-8.16,-0.4,2.27
2026-03-24,000557,4.55,4.59,4.6,4.47,117912,53526256.36,2.89,2.0,0.09,0.81
2026-03-25,000557,4.58,4.7,4.73,4.56,141444,66120843.02,3.7,2.4,0.11,0.97
2026-03-26,000557,4.74,4.76,4.83,4.7,143008,68297502.0,2.77,1.28,0.06,0.98
2026-03-27,000557,4.71,4.7,4.76,4.67,115911,54551622.35,1.89,-1.26,-0.06,0.8
2026-03-30,000557,4.67,4.73,4.74,4.6,87259,40927951.64,2.98,0.64,0.03,0.6
2026-03-31,000557,4.73,4.72,4.81,4.7,82295,39189441.84,2.33,-0.21,-0.01,0.56
2026-04-01,000557,4.77,4.7,4.79,4.67,93044,43772044.56,2.54,-0.42,-0.02,0.64
2026-04-02,000557,4.68,4.66,4.71,4.64,68327,31937788.62,1.49,-0.85,-0.04,0.47
2026-04-03,000557,4.66,4.54,4.67,4.53,70732,32410763.44,3.0,-2.58,-0.12,0.49
2026-04-07,000557,4.54,4.67,4.67,4.51,80376,37059658.31,3.52,2.86,0.13,0.55
2026-04-08,000557,4.7,4.76,4.78,4.68,97410,46104129.94,2.14,1.93,0.09,0.67
2026-04-09,000557,4.75,4.69,4.77,4.66,89332,41963901.0,2.31,-1.47,-0.07,0.61
2026-04-10,000557,4.73,4.75,4.82,4.7,87417,41658433.08,2.56,1.28,0.06,0.6
2026-04-13,000557,4.73,4.74,4.76,4.69,69199,32679673.72,1.47,-0.21,-0.01,0.47
2026-04-14,000557,4.75,4.71,4.76,4.68,76039,35835033.19,1.69,-0.63,-0.03,0.52
2026-04-15,000557,4.72,4.67,4.72,4.67,56217,26325844.72,1.06,-0.85,-0.04,0.39
2026-04-16,000557,4.67,4.68,4.71,4.65,53627,25093110.36,1.28,0.21,0.01,0.37
2026-04-17,000557,4.67,4.68,4.71,4.62,79247,36885357.65,1.92,0.0,0.0,0.54
2026-04-20,000557,4.67,4.71,4.78,4.65,89273,42191530.8,2.78,0.64,0.03,0.61
2026-04-21,000557,4.71,4.68,4.74,4.65,78151,36586029.1,1.91,-0.64,-0.03,0.54
2026-04-22,000557,4.67,4.67,4.69,4.65,56754,26484309.23,0.85,-0.21,-0.01,0.39
2026-04-23,000557,4.66,4.65,4.68,4.6,66563,30839112.05,1.71,-0.43,-0.02,0.46
2026-04-24,000557,4.66,4.62,4.66,4.59,58752,27176916.0,1.51,-0.65,-0.03,0.4
2026-04-27,000557,4.62,4.62,4.65,4.58,62712,28948947.0,1.52,0.0,0.0,0.43
