日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,600917,5.68,5.66,5.7,5.64,40148,22738948.0,1.06,-0.35,-0.02,0.26
2026-02-27,600917,5.67,5.74,5.74,5.65,74497,42467284.0,1.59,1.41,0.08,0.48
2026-03-02,600917,5.8,5.84,5.86,5.76,230748,134338767.0,1.74,1.74,0.1,1.48
2026-03-03,600917,5.97,6.42,6.42,5.96,1187058,744196002.0,7.88,9.93,0.58,7.6
2026-03-04,600917,6.42,5.91,6.43,5.78,856946,510194517.0,10.12,-7.94,-0.51,5.49
2026-03-05,600917,5.88,5.77,5.97,5.72,514978,299004292.0,4.23,-2.37,-0.14,3.3
2026-03-06,600917,5.72,5.73,5.77,5.64,316820,180728372.0,2.25,-0.69,-0.04,2.03
2026-03-09,600917,5.92,5.75,6.0,5.75,499036,292856299.0,4.36,0.35,0.02,3.2
2026-03-10,600917,5.65,5.69,5.74,5.64,297571,169228056.0,1.74,-1.04,-0.06,1.91
2026-03-11,600917,5.67,5.68,5.69,5.61,246971,139302697.0,1.41,-0.18,-0.01,1.58
2026-03-12,600917,5.69,5.79,5.81,5.68,334798,192741783.0,2.29,1.94,0.11,2.14
2026-03-13,600917,5.76,5.73,5.83,5.7,223943,129428768.0,2.25,-1.04,-0.06,1.43
2026-03-16,600917,5.73,5.7,5.77,5.67,175433,100198616.0,1.75,-0.52,-0.03,1.12
2026-03-17,600917,5.69,5.67,5.71,5.66,164965,93743081.0,0.88,-0.53,-0.03,1.06
2026-03-18,600917,5.65,5.59,5.66,5.54,176513,98632384.0,2.12,-1.41,-0.08,1.13
2026-03-19,600917,5.63,5.68,5.75,5.63,309891,175985921.0,2.15,1.61,0.09,1.99
2026-03-20,600917,5.61,5.64,5.73,5.55,255543,143595158.0,3.17,-0.7,-0.04,1.64
2026-03-23,600917,5.64,5.41,5.65,5.38,226851,124553654.0,4.79,-4.08,-0.23,1.45
2026-03-24,600917,5.43,5.46,5.47,5.34,159882,86309129.0,2.4,0.92,0.05,1.02
2026-03-25,600917,5.41,5.54,5.56,5.39,166223,91324734.0,3.11,1.47,0.08,1.06
2026-03-26,600917,5.54,5.55,5.59,5.5,132057,73244552.0,1.62,0.18,0.01,0.85
2026-03-27,600917,5.54,5.58,5.6,5.5,131184,72919665.0,1.8,0.54,0.03,0.84
2026-03-30,600917,5.55,5.54,5.62,5.49,127754,70704198.0,2.33,-0.72,-0.04,0.82
2026-03-31,600917,5.54,5.47,5.58,5.46,104259,57540773.0,2.17,-1.26,-0.07,0.67
2026-04-01,600917,5.51,5.48,5.52,5.46,77004,42226860.0,1.1,0.18,0.01,0.49
2026-04-02,600917,5.48,5.46,5.52,5.43,106159,58062203.0,1.64,-0.36,-0.02,0.68
2026-04-03,600917,5.45,5.3,5.46,5.29,123938,66200755.0,3.11,-2.93,-0.16,0.79
2026-04-07,600917,5.3,5.33,5.34,5.26,75408,40036620.0,1.51,0.57,0.03,0.48
2026-04-08,600917,5.3,5.4,5.4,5.29,92751,49728415.0,2.06,1.31,0.07,0.59
2026-04-09,600917,5.37,5.33,5.39,5.31,66115,35330666.0,1.48,-1.3,-0.07,0.42
2026-04-10,600917,5.33,5.36,5.38,5.33,50595,27137916.0,0.94,0.56,0.03,0.32
2026-04-13,600917,5.36,5.4,5.41,5.34,65438,35182096.0,1.31,0.75,0.04,0.42
2026-04-14,600917,5.38,5.42,5.42,5.38,55090,29747684.0,0.74,0.37,0.02,0.35
2026-04-15,600917,5.4,5.38,5.42,5.37,42892,23120220.0,0.92,-0.74,-0.04,0.27
2026-04-16,600917,5.37,5.37,5.39,5.35,43662,23436385.0,0.74,-0.19,-0.01,0.28
2026-04-17,600917,5.35,5.27,5.35,5.27,107288,56793130.0,1.49,-1.86,-0.1,0.69
2026-04-20,600917,5.28,5.28,5.28,5.24,70577,37085055.0,0.76,0.19,0.01,0.45
2026-04-21,600917,5.27,5.25,5.27,5.23,57512,30170785.0,0.76,-0.57,-0.03,0.37
2026-04-22,600917,5.24,5.24,5.24,5.21,56171,29339537.0,0.57,-0.19,-0.01,0.36
2026-04-23,600917,5.24,5.28,5.28,5.22,63951,33608665.0,1.15,0.76,0.04,0.41
2026-04-24,600917,5.26,5.24,5.26,5.22,45796,23984201.0,0.76,-0.76,-0.04,0.29
2026-04-27,600917,5.22,5.25,5.26,5.22,39072,20468918.0,0.76,0.19,0.01,0.25
