日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,600078,14.81,14.81,14.81,14.6,444381,657791821.0,1.56,10.03,1.35,6.71
2026-02-27,600078,14.33,14.16,14.95,13.76,1455618,2072008209.0,8.04,-4.39,-0.65,21.97
2026-03-02,600078,13.96,13.22,14.28,12.88,908889,1207072733.0,9.89,-6.64,-0.94,13.72
2026-03-03,600078,13.4,12.19,13.42,12.15,713938,898842398.0,9.61,-7.79,-1.03,10.78
2026-03-04,600078,11.93,12.49,13.34,11.9,695740,883993808.0,11.81,2.46,0.3,10.5
2026-03-05,600078,12.74,12.67,12.86,12.41,445801,562147250.0,3.6,1.44,0.18,6.73
2026-03-06,600078,12.58,13.11,13.29,12.43,677356,883506138.0,6.79,3.47,0.44,10.22
2026-03-09,600078,13.16,12.92,13.55,12.8,544971,711489290.0,5.72,-1.45,-0.19,8.23
2026-03-10,600078,12.54,12.74,12.95,12.54,333288,424673783.0,3.17,-1.39,-0.18,5.03
2026-03-11,600078,12.73,12.9,13.09,12.63,390573,502650145.0,3.61,1.26,0.16,5.89
2026-03-12,600078,13.15,12.9,13.3,12.61,523886,679252482.0,5.35,0.0,0.0,7.91
2026-03-13,600078,12.83,13.66,14.19,12.83,892796,1231184695.0,10.54,5.89,0.76,13.47
2026-03-16,600078,13.53,13.14,14.1,12.88,740534,989936962.0,8.93,-3.81,-0.52,11.18
2026-03-17,600078,12.94,12.6,13.55,12.6,553330,720036260.0,7.23,-4.11,-0.54,8.35
2026-03-18,600078,12.41,12.25,12.49,11.98,388648,473077694.0,4.05,-2.78,-0.35,5.87
2026-03-19,600078,12.4,11.75,12.48,11.61,361567,430119682.0,7.1,-4.08,-0.5,5.46
2026-03-20,600078,11.58,11.29,11.83,11.23,277538,318217181.0,5.11,-3.91,-0.46,4.19
2026-03-23,600078,10.99,10.65,11.24,10.54,342871,372359319.0,6.2,-5.67,-0.64,5.17
2026-03-24,600078,10.8,10.9,10.94,10.47,250963,269033245.0,4.41,2.35,0.25,3.79
2026-03-25,600078,10.98,11.24,11.41,10.88,217817,244332684.0,4.86,3.12,0.34,3.29
2026-03-26,600078,11.25,11.02,11.44,11.0,197330,220829637.0,3.91,-1.96,-0.22,2.98
2026-03-27,600078,10.88,11.74,11.95,10.88,375684,431761947.0,9.71,6.53,0.72,5.67
2026-03-30,600078,11.6,11.87,12.05,11.53,282999,333288422.0,4.43,1.11,0.13,4.27
2026-03-31,600078,11.71,11.36,11.88,11.36,184278,213215361.0,4.38,-4.3,-0.51,2.78
2026-04-01,600078,11.59,11.4,11.67,11.32,135703,155225373.0,3.08,0.35,0.04,2.05
2026-04-02,600078,11.35,11.11,11.35,11.01,135886,151693449.0,2.98,-2.54,-0.29,2.05
2026-04-03,600078,11.22,11.05,11.28,10.84,140671,154717056.0,3.96,-0.54,-0.06,2.12
2026-04-07,600078,10.95,11.41,11.49,10.92,177135,199422604.0,5.16,3.26,0.36,2.67
2026-04-08,600078,11.41,11.59,11.63,11.2,249799,286199657.0,3.77,1.58,0.18,3.77
2026-04-09,600078,11.42,11.89,12.08,11.42,302179,355437443.0,5.69,2.59,0.3,4.56
2026-04-10,600078,11.9,12.44,12.83,11.8,497818,621896829.0,8.66,4.63,0.55,7.51
2026-04-13,600078,12.55,12.7,12.74,12.3,329542,414084591.0,3.54,2.09,0.26,4.97
2026-04-14,600078,12.85,13.58,13.64,12.7,499050,663682209.0,7.4,6.93,0.88,7.53
2026-04-15,600078,13.48,12.98,13.6,12.88,390802,514485157.0,5.3,-4.42,-0.6,5.9
2026-04-16,600078,12.94,13.19,13.55,12.7,298744,394881404.0,6.55,1.62,0.21,4.51
2026-04-17,600078,13.16,13.01,13.4,12.9,247550,323371849.0,3.79,-1.36,-0.18,3.74
2026-04-20,600078,12.94,12.46,12.99,12.35,322198,403132803.0,4.92,-4.23,-0.55,4.86
2026-04-21,600078,12.49,12.28,12.52,12.0,215503,264333333.0,4.17,-1.44,-0.18,3.25
2026-04-22,600078,12.25,12.66,12.97,12.17,286916,362595941.0,6.51,3.09,0.38,4.33
2026-04-23,600078,12.66,12.72,13.15,12.48,331694,425764335.0,5.29,0.47,0.06,5.01
2026-04-24,600078,12.54,13.35,13.56,12.54,373607,490837611.0,8.02,4.95,0.63,5.64
2026-04-27,600078,13.25,13.0,13.28,12.81,310499,404214523.0,3.52,-2.62,-0.35,4.69
