日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,920019,23.92,23.4,24.1,23.3,50337,118724842.24,3.36,-1.64,-0.39,3.0
2026-02-27,920019,23.43,23.61,23.79,23.18,42229,99305858.96,2.61,0.9,0.21,2.52
2026-03-02,920019,24.48,24.73,24.96,23.65,116148,283207709.92,5.55,4.74,1.12,6.93
2026-03-03,920019,24.5,22.57,24.5,22.55,92703,218034073.61,7.89,-8.73,-2.16,5.53
2026-03-04,920019,22.37,22.5,23.2,22.05,44040,99730132.46,5.1,-0.31,-0.07,2.63
2026-03-05,920019,22.62,21.68,22.88,21.51,60788,134054548.48,6.09,-3.64,-0.82,3.63
2026-03-06,920019,21.5,21.52,21.65,21.14,31061,66447653.3,2.35,-0.74,-0.16,1.85
2026-03-09,920019,21.09,21.23,21.66,20.8,37232,79065827.53,4.0,-1.35,-0.29,2.22
2026-03-10,920019,21.32,21.47,21.58,21.28,27638,59176857.41,1.41,1.13,0.24,1.65
2026-03-11,920019,21.67,21.23,21.67,21.22,24640,52644708.71,2.1,-1.12,-0.24,1.47
2026-03-12,920019,21.3,20.46,21.39,20.46,34423,71662137.67,4.38,-3.63,-0.77,2.05
2026-03-13,920019,20.56,20.16,20.72,20.11,25877,52698409.66,2.98,-1.47,-0.3,1.54
2026-03-16,920019,20.22,20.47,20.49,19.89,19967,40496459.52,2.98,1.54,0.31,1.19
2026-03-17,920019,20.49,19.91,20.55,19.9,21513,43452103.95,3.18,-2.74,-0.56,1.28
2026-03-18,920019,20.01,20.07,20.11,19.77,15794,31537961.99,1.71,0.8,0.16,0.94
2026-03-19,920019,19.98,18.99,20.09,18.93,34143,65983981.4,5.78,-5.38,-1.08,2.04
2026-03-20,920019,19.06,18.72,19.4,18.63,21010,40042462.46,4.05,-1.42,-0.27,1.25
2026-03-23,920019,18.5,17.5,18.5,17.3,30660,54844509.83,6.41,-6.52,-1.22,1.83
2026-03-24,920019,18.04,18.14,18.2,17.67,23655,42447961.61,3.03,3.66,0.64,1.41
2026-03-25,920019,18.24,18.31,18.63,18.18,18930,34746321.33,2.48,0.94,0.17,1.13
2026-03-26,920019,18.38,17.66,18.43,17.56,17445,31338414.89,4.75,-3.55,-0.65,1.04
2026-03-27,920019,17.5,17.91,18.1,17.5,13781,24614802.1,3.4,1.42,0.25,0.82
2026-03-30,920019,18.0,17.83,18.06,17.59,13598,24201250.03,2.62,-0.45,-0.08,0.81
2026-03-31,920019,18.03,17.6,18.12,17.58,13330,23815469.88,3.03,-1.29,-0.23,0.8
2026-04-01,920019,18.11,17.89,18.11,17.76,11967,21453375.36,1.99,1.65,0.29,0.71
2026-04-02,920019,17.87,17.93,18.24,17.61,17077,30681505.77,3.52,0.22,0.04,1.02
2026-04-03,920019,18.08,17.15,18.08,17.11,18096,31627716.21,5.41,-4.35,-0.78,1.08
2026-04-07,920019,17.1,17.34,17.6,17.09,14962,26009657.04,2.97,1.11,0.19,0.89
2026-04-08,920019,17.74,18.15,18.15,17.56,26720,47939821.82,3.4,4.67,0.81,1.59
2026-04-09,920019,17.99,17.77,18.09,17.77,17496,31355152.92,1.76,-2.09,-0.38,1.04
2026-04-10,920019,17.8,18.09,18.18,17.8,13881,25041141.23,2.14,1.8,0.32,0.83
2026-04-13,920019,17.94,17.85,18.1,17.83,11673,20937323.89,1.49,-1.33,-0.24,0.7
2026-04-14,920019,18.19,18.08,18.23,17.89,14522,26213818.71,1.9,1.29,0.23,0.87
2026-04-15,920019,18.17,18.08,18.59,17.99,21901,40012753.11,3.32,0.0,0.0,1.31
2026-04-16,920019,18.18,18.3,18.5,17.87,17625,31898808.95,3.48,1.22,0.22,1.05
2026-04-17,920019,18.29,18.86,18.97,18.0,41576,77293937.72,5.3,3.06,0.56,2.48
2026-04-20,920019,18.86,19.0,19.45,18.64,35797,68309086.1,4.29,0.74,0.14,2.14
2026-04-21,920019,18.88,18.67,18.99,18.56,20087,37532373.42,2.26,-1.74,-0.33,1.2
2026-04-22,920019,18.56,18.88,19.0,18.56,18736,35315015.9,2.36,1.12,0.21,1.12
2026-04-23,920019,18.81,18.33,19.03,18.29,21431,39889654.81,3.92,-2.91,-0.55,1.28
2026-04-24,920019,18.4,18.27,18.44,17.95,15969,29019225.5,2.67,-0.33,-0.06,0.95
2026-04-27,920019,18.21,18.13,18.36,17.8,15052,27116408.95,3.07,-0.77,-0.14,0.9
