日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002021,3.8,3.69,3.8,3.5,1704897,617694001.57,8.38,3.07,0.11,14.26
2026-02-27,002021,3.67,3.77,3.89,3.64,1212688,456192953.95,6.78,2.17,0.08,10.14
2026-03-02,002021,3.76,3.54,3.77,3.46,974683,346337639.74,8.22,-6.1,-0.23,8.15
2026-03-03,002021,3.55,3.36,3.59,3.32,712451,243813879.25,7.63,-5.08,-0.18,5.96
2026-03-04,002021,3.31,3.45,3.47,3.23,682428,232331632.78,7.14,2.68,0.09,5.71
2026-03-05,002021,3.54,3.45,3.55,3.43,414343,143912528.83,3.48,0.0,0.0,3.47
2026-03-06,002021,3.48,3.55,3.6,3.46,588194,209123922.74,4.06,2.9,0.1,4.92
2026-03-09,002021,3.46,3.47,3.52,3.34,521418,178025801.22,5.07,-2.25,-0.08,4.36
2026-03-10,002021,3.54,3.58,3.74,3.54,502521,180781608.06,5.76,3.17,0.11,4.2
2026-03-11,002021,3.58,3.54,3.66,3.52,437391,156165228.14,3.91,-1.12,-0.04,3.66
2026-03-12,002021,3.55,3.38,3.57,3.35,647568,222382992.25,6.21,-4.52,-0.16,5.42
2026-03-13,002021,3.44,3.44,3.58,3.38,620663,216535491.8,5.92,1.78,0.06,5.19
2026-03-16,002021,3.49,3.45,3.52,3.4,417570,144076330.04,3.49,0.29,0.01,3.49
2026-03-17,002021,3.47,3.35,3.49,3.35,418913,142876506.98,4.06,-2.9,-0.1,3.5
2026-03-18,002021,3.38,3.48,3.49,3.31,406545,137927277.04,5.37,3.88,0.13,3.4
2026-03-19,002021,3.42,3.27,3.42,3.25,547161,180858988.74,4.89,-6.03,-0.21,4.58
2026-03-20,002021,3.31,3.09,3.33,3.08,532347,168864563.11,7.65,-5.5,-0.18,4.45
2026-03-23,002021,3.01,2.89,3.09,2.86,599183,177531656.06,7.44,-6.47,-0.2,5.01
2026-03-24,002021,2.94,2.99,3.0,2.87,515346,151087697.28,4.5,3.46,0.1,4.31
2026-03-25,002021,3.01,3.08,3.1,3.0,363383,111134314.55,3.34,3.01,0.09,3.04
2026-03-26,002021,3.08,3.02,3.13,2.97,347429,105485181.26,5.19,-1.95,-0.06,2.91
2026-03-27,002021,3.0,3.08,3.12,2.98,337895,103720334.96,4.64,1.99,0.06,2.83
2026-03-30,002021,3.03,3.06,3.07,2.96,381205,115034917.22,3.57,-0.65,-0.02,3.19
2026-03-31,002021,3.06,3.15,3.27,3.05,672234,213997431.36,7.19,2.94,0.09,5.62
2026-04-01,002021,3.2,3.05,3.22,3.03,525278,162181489.23,6.03,-3.17,-0.1,4.39
2026-04-02,002021,3.06,3.08,3.13,3.03,368224,113237000.63,3.28,0.98,0.03,3.08
2026-04-03,002021,3.09,2.96,3.11,2.96,384671,115497939.7,4.87,-3.9,-0.12,3.22
2026-04-07,002021,2.98,3.03,3.05,2.97,244564,73804583.95,2.7,2.36,0.07,2.05
2026-04-08,002021,3.09,3.11,3.11,3.05,291117,89930708.19,1.98,2.64,0.08,2.44
2026-04-09,002021,3.09,3.05,3.12,3.03,285774,87662414.77,2.89,-1.93,-0.06,2.39
2026-04-10,002021,3.1,3.07,3.18,3.06,367526,114658529.68,3.93,0.66,0.02,3.07
2026-04-13,002021,3.05,3.11,3.12,3.03,315842,97236574.03,2.93,1.3,0.04,2.64
2026-04-14,002021,3.11,3.08,3.13,3.04,306175,94220409.47,2.89,-0.96,-0.03,2.56
2026-04-15,002021,3.1,3.0,3.1,2.97,409703,123430564.67,4.22,-2.6,-0.08,3.43
2026-04-16,002021,2.99,3.05,3.08,2.97,342470,103706636.09,3.67,1.67,0.05,2.86
2026-04-17,002021,3.03,3.01,3.04,2.98,273967,82474561.91,1.97,-1.31,-0.04,2.29
2026-04-20,002021,3.01,2.99,3.03,2.97,306901,91818787.57,1.99,-0.66,-0.02,2.57
2026-04-21,002021,2.97,2.9,2.99,2.88,384204,111519063.87,3.68,-3.01,-0.09,3.21
2026-04-22,002021,2.87,3.01,3.01,2.8,625955,181951715.04,7.24,3.79,0.11,5.24
2026-04-23,002021,3.02,2.94,3.04,2.87,373858,109464208.87,5.65,-2.33,-0.07,3.13
2026-04-24,002021,2.93,2.97,3.04,2.89,343367,101594199.83,5.1,1.02,0.03,2.87
2026-04-27,002021,2.96,3.05,3.06,2.9,396549,118953192.02,5.39,2.69,0.08,3.32
