日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002551,3.89,3.81,3.9,3.8,118765,45592168.7,2.58,-1.55,-0.06,1.94
2026-02-27,002551,3.81,3.86,3.86,3.79,88435,33845653.84,1.84,1.31,0.05,1.45
2026-03-02,002551,3.83,3.69,3.83,3.69,205291,76753700.95,3.63,-4.4,-0.17,3.36
2026-03-03,002551,3.71,3.62,3.75,3.62,142984,52692969.23,3.52,-1.9,-0.07,2.34
2026-03-04,002551,3.6,3.57,3.63,3.54,126259,45215188.93,2.49,-1.38,-0.05,2.07
2026-03-05,002551,3.64,3.65,3.68,3.63,110881,40547456.35,1.4,2.24,0.08,1.81
2026-03-06,002551,3.63,3.8,3.81,3.61,185159,69457822.44,5.48,4.11,0.15,3.03
2026-03-09,002551,3.77,3.73,3.81,3.7,122352,45773092.86,2.89,-1.84,-0.07,2.0
2026-03-10,002551,3.76,3.81,3.82,3.74,123588,46919174.93,2.14,2.14,0.08,2.02
2026-03-11,002551,3.81,3.79,3.83,3.77,98041,37197783.7,1.57,-0.52,-0.02,1.6
2026-03-12,002551,3.8,3.75,3.82,3.74,88302,33330251.25,2.11,-1.06,-0.04,1.44
2026-03-13,002551,3.75,3.8,3.83,3.74,141822,53888625.63,2.4,1.33,0.05,2.32
2026-03-16,002551,3.8,3.8,3.85,3.78,102537,39057415.08,1.84,0.0,0.0,1.68
2026-03-17,002551,3.8,3.76,3.86,3.76,134500,51386578.94,2.63,-1.05,-0.04,2.2
2026-03-18,002551,3.77,3.84,3.84,3.74,106188,40300228.3,2.66,2.13,0.08,1.74
2026-03-19,002551,3.82,3.7,3.84,3.68,128876,48299400.0,4.17,-3.65,-0.14,2.11
2026-03-20,002551,3.72,3.53,3.75,3.53,174046,62616512.3,5.95,-4.59,-0.17,2.85
2026-03-23,002551,3.47,3.27,3.47,3.18,238653,80042833.64,8.22,-7.37,-0.26,3.9
2026-03-24,002551,3.4,3.48,3.48,3.29,236532,80146635.9,5.81,6.42,0.21,3.87
2026-03-25,002551,3.52,3.55,3.58,3.49,124347,44000566.01,2.59,2.01,0.07,2.03
2026-03-26,002551,3.56,3.5,3.63,3.47,151884,53702974.8,4.51,-1.41,-0.05,2.49
2026-03-27,002551,3.5,3.58,3.59,3.45,94612,33586409.58,4.0,2.29,0.08,1.55
2026-03-30,002551,3.56,3.63,3.63,3.53,143467,51506785.0,2.79,1.4,0.05,2.35
2026-03-31,002551,3.62,3.61,3.69,3.59,111879,40795864.26,2.75,-0.55,-0.02,1.83
2026-04-01,002551,3.64,3.66,3.68,3.59,129711,47250492.73,2.49,1.39,0.05,2.12
2026-04-02,002551,3.66,3.65,3.7,3.64,162517,59658564.57,1.64,-0.27,-0.01,2.66
2026-04-03,002551,3.63,3.4,3.65,3.39,212601,73902494.92,7.12,-6.85,-0.25,3.48
2026-04-07,002551,3.41,3.58,3.6,3.34,235232,82894985.5,7.65,5.29,0.18,3.85
2026-04-08,002551,3.64,3.6,3.66,3.55,166477,60000388.47,3.07,0.56,0.02,2.72
2026-04-09,002551,3.6,3.46,3.64,3.45,193149,67967383.67,5.28,-3.89,-0.14,3.16
2026-04-10,002551,3.48,3.51,3.57,3.44,151440,53331552.73,3.76,1.45,0.05,2.48
2026-04-13,002551,3.5,3.49,3.52,3.44,118510,41162659.0,2.28,-0.57,-0.02,1.94
2026-04-14,002551,3.52,3.44,3.53,3.38,184894,63373799.02,4.3,-1.43,-0.05,3.03
2026-04-15,002551,3.46,3.45,3.49,3.39,152338,52479385.87,2.91,0.29,0.01,2.49
2026-04-16,002551,3.44,3.48,3.49,3.4,130456,45013757.71,2.61,0.87,0.03,2.13
2026-04-17,002551,3.47,3.4,3.47,3.36,155058,52727310.6,3.16,-2.3,-0.08,2.54
2026-04-20,002551,3.41,3.43,3.43,3.34,108335,36758937.89,2.65,0.88,0.03,1.77
2026-04-21,002551,3.43,3.4,3.44,3.35,97407,32989543.0,2.62,-0.87,-0.03,1.59
2026-04-22,002551,3.39,3.38,3.4,3.36,81107,27436898.8,1.18,-0.59,-0.02,1.33
2026-04-23,002551,3.37,3.37,3.38,3.31,127180,42551867.28,2.07,-0.3,-0.01,2.08
2026-04-24,002551,3.34,3.35,3.37,3.28,140310,46571681.39,2.67,-0.59,-0.02,2.3
2026-04-27,002551,3.34,3.45,3.46,3.29,170281,57647614.35,5.07,2.99,0.1,2.79
