date,code,pre_close,price,ma5_dev,ma10_dev,return_5d,return_10d,vol_vs_ma5,ma_bull_aligned,price_position_10d,volatility_10d,is_limit_up_close,is_limit_up_touch,change_pct,next_day_return,score
2026-02-26,600323,27.62046696472926,27.8,4.199066874028001,5.544330673607067,7.875393769688488,4.651952461799658,1.7855227882037534,0,69.06077348066296,1.607933318385376,0,0,0.65,0.0,35.0
2026-02-26,000659,4.580152671755725,4.68,-0.39447731755424265,-1.6553067185978487,-2.1791767554479424,-6.04651162790697,1.1686261483365339,0,27.450980392156875,1.1958190075548467,0,0,2.18,0.0,27.0
2026-02-26,002357,15.419456478928712,15.66,1.4519056261343088,0.6753714542998557,1.0849909584086825,-1.7574692442882345,1.078488917185231,0,43.75,2.030521851304578,0,0,1.56,0.0,24.0
2026-02-26,605555,18.369620253164555,18.14,-2.8670291646070267,-2.962962962962956,-2.8430160692212603,0.06365372374284028,1.9253054479451683,0,43.66197183098598,1.9228622391247465,0,0,-1.25,0.0,23.0
2026-02-26,002859,42.88003204486281,42.82,1.7389437526835527,2.2791038977856504,-3.2264651827649593,10.931647940074907,1.2914808702877942,1,60.97826086956524,4.853562396866094,0,0,-0.14,0.0,18.0
2026-02-26,601020,35.42891302181927,35.56,-2.839694656488545,1.2666284768633629,0.9197589597208955,7.138047138047132,0.7227123029132395,1,60.627177700348454,3.45111889678729,0,0,0.37,0.0,18.0
2026-02-26,600249,6.03979396020604,5.98,0.9421265141318802,0.5025125628140614,1.3513513513513598,-0.8264462809917328,1.0463207910392414,0,53.124999999999936,1.083933292179304,0,0,-0.99,0.0,17.0
2026-02-26,601555,9.399979763229789,9.29,0.33808258874667985,0.09636232233198871,0.727272727272732,0.24125452352232735,0.9397471747684808,0,50.00000000000032,0.846350238726153,0,0,-1.17,0.0,13.0
2026-02-26,000959,5.699949824385348,5.68,-1.1135857461024412,-3.2890437813112405,-2.631578947368407,-7.306889352818368,0.8451686879530446,0,16.326530612244934,2.1073517139590106,0,0,-0.35,0.0,10.0
2026-02-26,002686,7.050316360349502,7.02,-1.7879948914431676,-1.2329822758797682,-9.208972845336483,11.61103047895502,0.6735290825612702,1,52.4390243902439,5.151082842369148,0,0,-0.43,0.0,10.0
2026-02-26,600721,9.379742993018315,9.27,-2.6599403806466526,-4.6067415730337125,-5.666666666666664,-5.456570155902007,1.1953865131578947,0,16.1904761904762,1.5945640959855174,0,0,-1.17,0.0,9.0
2026-02-26,603182,16.400797607178465,16.45,-0.49207217058501174,-0.7430636035176241,-3.830911492734479,-2.1505376344086002,0.8055044771346338,0,31.304347826087053,1.9674607075464048,0,0,0.3,0.0,5.0
2026-02-26,603933,23.520606725875663,23.57,-4.28670600485942,-6.291151607833168,-9.404517453798778,-7.698744769874477,0.5032138952580688,0,15.999999999999964,4.519456683705503,0,0,0.21,0.0,5.0
2026-02-27,600323,27.798889213680212,28.53,4.199066874028001,5.544330673607067,7.875393769688488,4.651952461799658,1.7855227882037534,0,69.06077348066296,1.607933318385376,0,0,2.63,0.0,41.0
2026-02-27,601020,35.5588208283589,38.72,-2.839694656488545,1.2666284768633629,0.9197589597208955,7.138047138047132,0.7227123029132395,1,60.627177700348454,3.45111889678729,0,1,8.89,0.0,33.0
2026-02-27,002357,15.659367396593673,16.09,1.4519056261343088,0.6753714542998557,1.0849909584086825,-1.7574692442882345,1.078488917185231,0,43.75,2.030521851304578,0,0,2.75,0.0,30.0
2026-02-27,000659,4.680066025827751,4.82,-0.39447731755424265,-1.6553067185978487,-2.1791767554479424,-6.04651162790697,1.1686261483365339,0,27.450980392156875,1.1958190075548467,0,0,2.99,0.0,27.0
2026-02-27,002859,42.82108239095315,42.41,1.7389437526835527,2.2791038977856504,-3.2264651827649593,10.931647940074907,1.2914808702877942,1,60.97826086956524,4.853562396866094,0,0,-0.96,0.0,18.0
2026-02-27,600358,6.299902629016553,6.47,-2.997364953886694,-5.442286081232961,-5.457463884430192,-7.097791798107256,0.789636259994762,0,9.722222222222141,2.152554859636173,0,0,2.7,0.0,18.0
2026-02-27,605555,18.13977389516958,17.65,-2.8670291646070267,-2.962962962962956,-2.8430160692212603,0.06365372374284028,1.9253054479451683,0,43.66197183098598,1.9228622391247465,0,0,-2.7,0.0,18.0
2026-02-27,000959,5.680238331678253,5.72,-1.1135857461024412,-3.2890437813112405,-2.631578947368407,-7.306889352818368,0.8451686879530446,0,16.326530612244934,2.1073517139590106,0,0,0.7,0.0,17.0
2026-02-27,600249,5.979834281721074,5.99,0.9421265141318802,0.5025125628140614,1.3513513513513598,-0.8264462809917328,1.0463207910392414,0,53.124999999999936,1.083933292179304,0,0,0.17,0.0,17.0
2026-02-27,002647,10.419666735239664,10.13,-3.287082920383211,3.3539276257723127,1.4731369150779994,23.784355179704008,0.7032035892241998,1,53.18559556786706,5.45320056790785,0,0,-2.78,0.0,13.0
2026-02-27,601555,9.29,9.29,0.33808258874667985,0.09636232233198871,0.727272727272732,0.24125452352232735,0.9397471747684808,0,50.00000000000032,0.846350238726153,0,0,0.0,0.0,13.0
2026-02-27,603007,6.9003069003069,6.97,-6.16068593204192,-9.853569249542405,-13.848396501457728,-8.936825885978427,0.6505563695511958,0,7.9136690647482215,3.1247076360144774,0,0,1.01,0.0,12.0
2026-02-27,002686,7.019827758862407,7.01,-1.7879948914431676,-1.2329822758797682,-9.208972845336483,11.61103047895502,0.6735290825612702,1,52.4390243902439,5.151082842369148,0,0,-0.14,0.0,10.0
2026-02-27,600721,9.270197216938632,9.26,-2.6599403806466526,-4.6067415730337125,-5.666666666666664,-5.456570155902007,1.1953865131578947,0,16.1904761904762,1.5945640959855174,0,0,-0.11,0.0,9.0
