date,code,open,close,high,low,volume,amount,change_pct,amplitude,turnover_rate,volume_ratio_5,volume_ratio_10,turnover_ratio_5,ma5_dev,ma10_dev,ma20_dev,return_3d,return_5d,return_10d,volatility_10d,price_position_10d,ma_bull_aligned,next_date,next_open_return,next_close_return,next_touch_limit_up,next_close_limit_up,score
2026-01-27,002382,6.05,6.04,6.08,5.83,186985,111196818.1,-0.98,4.1,1.87,1.5872685755031706,1.3828799046254017,1.5847457627118642,0.7002334111370523,0.7674341007674279,2.633814783347499,1.8549747048903997,1.1725293132328396,1.5126050420168013,0.976178859212245,50.0,1,2026-01-28,-0.4975124378109541,0.4975124378109319,0,0,52.0
2026-01-27,603125,18.61,18.92,19.07,18.6,58007,108980051.0,1.01,2.51,5.73,0.685426981294828,0.5848039882851684,0.6852427648887827,-0.462962962962965,0.021146119687043274,2.739540061361345,-0.15831134564642246,0.10582010582012025,3.1062670299727424,1.9115330093141099,64.17910447761217,1,2026-01-28,-1.218220338983056,-1.0593220338983023,0,0,45.0
2026-01-27,605118,41.11,40.63,42.5,38.99,94131,377569614.0,-3.88,8.3,2.31,1.230969412441643,1.1300796317705915,1.230031948881789,-0.660146699266495,3.666471053504461,15.931690753712925,-2.86875448242887,4.743490590358346,23.5705596107056,5.061499360512344,64.86268174474962,1,2026-01-28,0.6745362563237878,-0.9154420621536818,1,0,44.0
2026-01-27,603110,16.98,17.03,17.12,16.51,77169,129605982.0,-0.53,3.56,3.83,0.6603135867035405,0.5688982531051322,0.659435261707989,-0.23432923257176164,1.158301158301156,1.5019668613660997,-0.11730205278591699,2.220888355342132,0.2944640753828054,1.4085225387327567,64.1509433962264,1,2026-01-28,0.11709601873537423,0.5269320843091618,0,0,35.0
2026-01-27,600830,9.76,9.68,9.82,9.49,83026,79800002.0,-1.43,3.36,1.83,1.1350443895783604,1.0059770248640842,1.1352357320099256,-1.5860105734038288,-1.1639779456810384,-0.6109143179834686,-2.8112449799196915,-1.3251783893985847,-1.4256619144602856,1.103298768784926,33.33333333333323,1,2026-01-28,-0.7291666666666696,-0.31249999999999334,0,0,25.0
2026-01-27,605196,42.55,41.9,42.85,41.01,162071,675212371.0,-2.51,4.28,3.21,0.9739047770134172,1.0823024244306212,0.9744990892531877,2.983827360762925,7.032467366592576,12.66469481043291,6.075949367088596,14.387114387114375,13.02940383059077,3.6306755509619113,75.86206896551724,1,2026-01-28,6.8587758990235725,4.763038818766363,0,0,22.0
2026-01-27,000889,3.66,3.65,3.74,3.59,233656,85022932.6,-1.08,4.07,2.69,0.9850731418578512,0.7033185609625932,0.9860703812316715,-1.7232094776521323,-2.4064171122994638,-1.4046461372231311,-2.144772117962468,0.27472527472527375,-3.693931398416894,2.7005351296016356,13.33333333333334,0,2026-01-28,-2.445652173913049,-3.2608695652173947,0,0,19.0
2026-01-27,002081,3.69,3.66,3.7,3.6,385427,140316430.86,-0.81,2.71,1.46,0.8836295141845386,0.6002186735909669,0.8859223300970873,-1.7713365539452464,-2.5299600532623256,-0.5840010865136414,-2.659574468085102,-3.6842105263157787,-5.670103092783496,2.011611195872383,17.647058823529434,0,2026-01-28,-0.27247956403269047,0.0,0,0,5.0
2026-01-28,605118,41.51,41.13,44.69,40.74,136504,579946813.0,1.23,9.72,3.35,1.645522621957982,1.5541912976946268,1.6453831041257367,-0.9393063583815087,3.630728917332271,15.468837731611451,-1.46142788691902,8.151459374178295,13.71302184130494,4.265476546916858,63.61058601134221,1,2026-01-29,-6.676238334529794,-3.9243838238813167,0,0,75.0
2026-01-28,605196,41.99,43.99,45.25,40.81,201707,873147584.0,4.99,10.6,3.99,1.1933560124241975,1.3628363308611247,1.1924686192468619,5.557421893746706,10.538747612825405,16.546781650306674,9.975000000000001,12.650448143405901,17.306666666666672,3.8126717354373882,87.33668341708545,1,2026-01-29,-4.078448852239802,-1.9166480944952102,0,0,57.0
