date,code,pre_close,price,change_pct,turnover_rate_daily,next_day_open_return,is_strong_open,is_limit_up,ma5_dev,ma10_dev,return_5d,return_10d,vol_vs_ma5,ma_bull_aligned,price_position_10d,volatility_10d,hist_limit_up_rate_20d,recent_high_touch_count,avg_amplitude_20d,score
2026-02-04,603110,16.86970080888802,17.31,2.61,6.58,-0.751,0,0,3.2077,2.1902,0.8154,1.8835,1.6057,0,77.3437,2.0127,0.0,0,3.9128,54.0
2026-02-04,002081,3.7098506296983302,3.8,2.43,2.14,-0.2632,0,0,2.0956,2.2605,3.5422,1.3333,1.2784,0,90.9091,1.8547,0.0,0,3.364,36.0
2026-02-04,600830,9.699791935004457,9.79,0.93,1.69,-0.3064,0,0,1.22,0.6063,2.2989,-0.102,1.0329,0,66.129,1.1429,0.0,0,2.3248,24.0
2026-02-04,000889,3.610144206862257,3.63,0.55,1.53,-0.551,0,0,1.1142,-0.3021,1.9663,-1.0899,0.832,0,36.3636,1.9992,4.0,1,3.4932,20.0
2026-02-04,002382,5.859797463376267,5.96,1.71,1.19,0.0,0,0,1.3261,0.1008,-1.6502,0.6757,0.7766,0,48.6486,1.6249,0.0,0,2.6816,17.0
2026-02-04,603125,18.229694146242657,18.0,-1.26,3.12,0.0,0,0,-1.5425,-3.1216,-3.6403,-6.8805,0.6284,0,8.5526,1.7546,4.0,1,3.4464,17.0
2026-02-04,605118,42.44203705578617,41.92,-1.23,0.86,0.0,0,0,1.8663,1.4128,1.9207,10.2288,0.4682,0,54.8673,3.8459,8.0,2,6.0228,13.0
2026-02-04,600736,7.000297885016383,7.05,0.71,2.46,0.0,0,0,1.0029,-1.8653,-3.6885,3.3724,0.737,0,20.8333,4.3057,4.0,1,4.5968,12.0
2026-02-04,605196,43.12180143295804,42.13,-2.3,2.09,2.065,1,0,-2.5175,-0.7445,-4.2282,7.8873,0.7231,1,46.6135,5.004,0.0,0,6.448,5.0
2026-02-05,605118,41.92126909518213,42.81,2.12,1.06,-0.2569,0,0,2.7013,3.3209,6.6252,2.3428,0.6771,1,66.0938,2.3094,8.0,2,6.1096,33.0
2026-02-05,600736,7.049739269955877,7.03,-0.28,3.22,-2.4182,0,0,0.8898,-2.1164,-0.8463,-0.2837,1.1613,0,19.1667,4.1799,4.0,1,4.4136,26.0
2026-02-05,603110,17.30926152590779,16.97,-1.96,3.19,-0.7661,0,0,0.7002,0.2303,2.414,-0.4692,0.704,0,50.7812,2.1241,0.0,0,3.9592,25.0
2026-02-05,000889,3.6300348085529586,3.65,0.55,1.66,-0.8219,0,0,1.108,0.4679,2.8169,-2.1448,0.9847,0,42.4242,1.9231,4.0,1,3.4736,20.0
2026-02-05,002081,3.8000201592581395,3.77,-0.79,1.45,-0.5305,0,0,1.1809,1.4259,0.5333,0.266,0.8633,0,70.8333,1.8772,0.0,0,3.2788,13.0
2026-02-05,002382,5.96019799979796,5.9,-1.01,0.69,-0.339,0,0,0.2719,-0.857,0.1698,-0.5059,0.5307,0,32.4324,1.6599,0.0,0,2.692,13.0
2026-02-05,600830,9.790350085264318,9.76,-0.31,1.25,-0.5123,0,0,0.4115,0.5046,2.521,-2.008,0.7449,0,61.2903,0.9884,0.0,0,2.284,13.0
2026-02-05,603125,18.000610190175937,17.7,-1.67,2.53,-0.0565,0,0,-2.3718,-4.091,-4.117,-6.5963,0.6041,0,0.5882,1.733,4.0,1,3.4684,5.0
2026-02-05,605196,42.13182286302781,40.91,-2.9,1.61,-1.98,0,0,-3.9626,-3.9378,-7.0439,3.5696,0.6191,1,30.4117,5.1412,0.0,0,6.3236,5.0
2026-02-06,600152,7.619766125990193,8.08,6.04,8.42,0.8663,1,0,3.5101,3.736,6.7371,1.7632,2.3214,0,75.2688,2.7444,4.0,1,4.478,67.0
2026-02-06,002565,17.139514477917515,17.58,2.57,17.38,2.3891,1,0,2.3998,2.4535,4.0237,6.6748,1.0906,1,68.8623,3.8985,8.0,2,8.5488,47.0
2026-02-06,002378,22.54991756732002,24.62,9.18,10.75,1.2591,1,0,6.5616,5.1104,8.0298,17.4058,1.9963,0,67.387,5.7523,4.0,2,7.8472,38.0
2026-02-06,002297,12.920497019901,12.79,-1.01,9.13,1.3292,1,0,2.1892,3.7307,9.7854,0.0,0.7593,1,67.757,3.8826,4.0,1,5.6204,35.0
2026-02-06,000952,7.859829736685805,7.94,1.02,3.62,0.6297,1,0,1.7166,0.0252,-0.2513,3.5202,1.1311,0,52.5424,2.5598,4.0,1,4.9132,33.0
2026-02-06,603657,28.380108321024125,28.82,1.55,1.51,0.7981,1,0,1.4717,0.5477,1.8735,-6.6408,1.5777,0,35.1563,1.8346,0.0,0,3.1356,33.0
2026-02-06,600151,15.8993685068242,15.61,-1.82,5.15,1.9859,1,0,-0.7503,1.1141,3.446,-8.8201,0.6625,0,39.0335,4.0978,8.0,2,8.344,30.0
2026-02-06,605196,40.9099562154959,42.98,5.06,2.5,0.0465,0,0,2.2019,0.2215,-5.9519,7.45,1.1408,0,54.7143,5.3423,0.0,0,6.5392,29.0
2026-02-06,600830,9.759952583226317,9.88,1.23,1.89,0.5061,1,0,1.2503,1.7822,1.9608,-0.4032,1.2745,0,90.9091,1.0813,0.0,0,2.3032,28.0
2026-02-06,001211,29.170779861796646,29.55,1.3,2.55,0.1692,0,0,1.1294,1.5045,0.8532,-2.4752,0.7711,1,56.5217,1.6619,0.0,0,2.9732,25.0
2026-02-06,603819,12.400354295837024,12.6,1.61,1.93,0.0,0,0,0.9777,0.5667,0.3984,-2.5522,1.0174,0,51.4286,1.3756,0.0,0,2.4204,24.0
2026-02-06,000889,3.6499254102436596,3.67,0.55,1.43,0.545,1,0,1.2693,1.4653,1.9444,-4.1775,0.8487,0,50.0,1.6697,4.0,1,3.4632,20.0
2026-02-06,002382,5.899792469611621,5.97,1.19,0.86,0.5025,1,0,1.2894,0.3699,0.8446,-0.5,0.7814,0,51.3514,1.6604,0.0,0,2.742,20.0
2026-02-06,603110,16.969336111938077,17.1,0.77,2.37,1.5205,1,0,1.0519,1.034,2.0896,-0.3497,0.5292,0,60.9375,2.1287,0.0,0,3.9748,20.0
2026-02-06,605118,42.81105061504336,42.46,-0.82,1.1,1.5073,1,0,0.9222,2.2985,4.7878,1.725,0.8021,1,60.625,2.3308,8.0,2,6.1796,20.0
2026-02-06,605138,7.539642963997208,7.56,0.27,0.56,0.9259,1,0,1.0425,1.736,1.7497,2.1622,0.8877,1,85.0,1.2142,0.0,0,2.1632,18.0
2026-02-06,600807,3.3899980233247677,3.43,1.18,2.26,0.2915,0,0,1.1799,-1.1527,-1.7192,-4.9861,0.8002,0,21.7391,1.7281,4.0,1,4.1972,17.0
2026-02-06,605296,28.249652708870805,28.47,0.78,0.39,0.0,0,0,0.7788,0.9861,-0.5241,0.9217,0.8822,0,68.7204,1.7018,0.0,0,2.244,17.0
2026-02-06,001234,27.879633320047827,27.98,0.36,1.83,0.4289,0,0,1.7899,2.7166,3.6296,-0.4979,0.8593,0,85.4839,1.9069,0.0,0,2.8356,15.0
2026-02-06,000006,8.999799559029865,8.98,-0.22,1.42,2.2272,1,0,0.605,-0.089,0.2232,-7.8029,0.9414,0,32.2034,2.3071,0.0,0,4.1216,13.0
2026-02-09,000889,3.6700791964458177,3.8,3.54,3.02,0.0,0,0,3.4858,4.7409,6.7416,2.981,1.8705,0,100.0,1.6681,4.0,1,3.5052,60.0
2026-02-09,002706,10.250023948654084,10.7,4.39,4.0,-0.0935,0,0,0.7913,-0.028,2.0992,-5.3097,1.1855,0,51.2397,3.286,0.0,0,4.2376,49.0
2026-02-09,000006,8.980373384394449,9.38,4.45,2.38,-0.2132,0,0,3.532,4.2802,7.6923,0.7519,1.669,0,83.871,2.4565,0.0,0,4.174,48.0
2026-02-09,600736,6.960309777347533,7.19,3.3,3.56,-0.1391,0,0,2.0437,1.3675,5.58,-8.7563,1.3225,0,32.5,2.5347,4.0,1,4.214,48.0
2026-02-09,002378,24.618842845973415,25.19,2.32,7.98,1.1909,1,0,6.3677,6.5792,12.9596,9.1894,1.2612,1,77.1008,4.9899,4.0,2,7.9968,46.0
2026-02-09,600152,8.080110497237568,8.19,1.36,5.49,-0.4884,0,0,3.4091,4.9327,7.4803,1.9925,1.227,0,85.2632,2.7539,4.0,1,4.4752,45.0
2026-02-09,603110,17.099756690997566,17.57,2.75,3.77,-0.1707,0,0,2.3654,3.5357,7.3961,2.6285,0.9626,1,88.6525,2.2969,0.0,0,3.9932,45.0
2026-02-09,002565,17.579250720461097,18.3,4.1,18.05,-1.8579,0,0,4.1904,5.8293,12.1324,7.8374,1.0079,1,77.8912,3.9859,8.0,2,8.2252,44.0
2026-02-09,600151,15.610705596107055,16.04,2.75,5.48,-0.2494,0,0,0.6652,3.4772,6.8621,4.0883,0.7147,0,70.1422,2.6697,4.0,1,7.7232,43.0
2026-02-09,002297,12.789656887120834,12.86,0.55,7.64,-0.3888,0,0,0.6417,3.8772,11.342,4.0453,0.5884,1,71.028,3.6911,4.0,1,5.4576,42.0
2026-02-09,605196,42.98076923076923,44.7,4.0,1.95,-1.4318,0,0,4.5174,3.8159,8.6798,4.0019,0.9416,0,77.5889,4.9672,0.0,0,6.6768,35.0
2026-02-09,605118,42.46081962425776,43.62,2.73,1.19,-0.0459,0,0,2.2743,4.7525,7.0955,3.1938,0.989,1,82.4877,2.4486,8.0,2,6.302,33.0
2026-02-09,600939,3.1699153376648947,3.22,1.58,0.97,0.0,0,0,1.3216,1.4173,3.871,0.3115,1.4919,0,75.0,1.3088,0.0,0,2.4012,30.0
