代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score,enrich_score,enrich_notes
002730,电光科技,33.66,5.95,0.0,0.0,0.0,35056280,115515.7,5.91,1.29,45,42,新浪,2026-04-30 20:18:22,96.81,57.9525,0.0,
001219,青岛食品,15.79,2.2,0.0,0.0,0.0,9470179,15042.6,2.32,1.45,48,45,新浪,2026-04-30 20:18:22,87.78,57.945,0.0,
000526,学大教育,34.76,4.76,0.0,0.0,0.0,5178355,18021.2,2.49,0.54,45,42,新浪,2026-04-30 20:18:22,94.08,57.269999999999996,0.0,
603029,天鹅股份,19.95,1.68,0.0,0.0,0.0,3215930,6381.0,1.96,1.6,48,45,新浪,2026-04-30 20:18:22,84.63000000000001,57.1575,0.0,
603076,乐惠国际,32.2,5.78,0.0,0.0,0.0,7873332,25419.5,1.7,0.74,45,42,新浪,2026-04-30 20:18:22,93.03,57.0075,0.0,
000672,上峰水泥,14.0,6.14,0.0,0.0,0.0,29302087,39723.6,1.98,1.0,45,42,新浪,2026-04-30 20:18:22,92.82000000000001,56.955,0.0,
002878,元隆雅图,19.55,4.6,0.0,0.0,0.0,25721289,50416.3,1.04,1.1,46,43,新浪,2026-04-30 20:18:22,88.83,56.707499999999996,0.0,
600114,东睦股份,34.08,4.16,0.0,0.0,0.0,23867494,80981.4,2.09,0.86,45,42,新浪,2026-04-30 20:18:22,90.72,56.43,0.0,
002050,三花智控,46.92,4.68,0.0,0.0,0.0,164467985,767025.6,0.59,1.09,46,43,新浪,2026-04-30 20:18:22,86.72999999999999,56.1825,0.0,
600857,宁波中百,12.71,2.75,0.0,0.0,0.0,4358710,5554.5,2.38,1.24,46,43,新浪,2026-04-30 20:18:22,86.30999999999999,56.0775,0.0,
000700,模塑科技,12.04,6.17,0.0,0.0,0.0,64838914,77330.9,1.29,1.34,45,42,新浪,2026-04-30 20:18:22,88.2,55.8,0.0,
