代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,adaptive_score,final_score
002397,梦洁股份,4.65,3.33,0.0,0.0,0.0,50277645,23492.4,2.37,1.17,44,41,,44.0
601512,中新集团,10.41,3.89,0.0,0.0,0.0,33050085,34552.4,-2.34,0.88,43,40,,43.0
002989,中天精装,25.44,6.4,0.0,0.0,0.0,6549986,16706.4,-5.08,1.7,43,40,,43.0
600285,羚锐制药,22.57,5.22,0.0,0.0,0.0,22871758,51595.2,-0.27,1.24,43,40,,43.0
600736,苏州高新,7.89,3.14,0.0,0.0,0.0,217491012,166883.1,-1.22,1.36,43,40,,43.0
600824,益民集团,4.02,0.75,0.0,0.0,0.0,13294987,5373.3,0.96,1.61,43,40,,43.0
002900,哈三联,11.46,5.14,0.0,0.0,0.0,13404500,15444.8,0.57,1.23,43,40,,43.0
600769,祥龙电业,15.79,3.75,0.0,0.0,0.0,18545258,28935.8,0.3,0.92,43,40,,43.0
002745,木林森,9.38,5.87,0.0,0.0,0.0,108320562,101393.4,0.32,0.69,43,40,,43.0
002549,凯美特气,20.79,2.52,0.0,0.0,0.0,79372743,163469.0,2.44,1.25,43,40,,43.0
600123,兰花科创,6.84,2.7,0.0,0.0,0.0,27404987,18493.9,2.75,1.47,43,40,,43.0
601330,绿色动力,9.13,4.94,0.0,0.0,0.0,51916933,47194.9,0.21,0.59,43,40,,43.0
000651,格力电器,38.25,1.97,0.0,0.0,0.0,49923244,188787.4,1.14,1.74,43,40,,43.0
000848,承德露露,8.88,5.59,0.0,0.0,0.0,69018677,61813.5,0.45,0.84,43,40,,43.0
600761,安徽合力,18.07,1.63,0.0,0.0,0.0,16395234,29655.5,2.75,1.97,43,40,,43.0
000703,恒逸石化,15.61,1.69,0.0,0.0,0.0,87924009,136309.7,1.71,1.79,43,40,,43.0
603116,红蜻蜓,6.05,0.83,0.0,0.0,0.0,12283060,7471.3,3.38,1.43,42,40,,42.0
600641,先导基电,27.3,2.94,0.0,0.0,0.0,57696176,154914.2,0.15,1.14,42,40,,42.0
601233,桐昆股份,20.86,2.61,0.0,0.0,0.0,28236843,58762.0,0.44,1.05,42,40,,42.0
600256,广汇能源,6.46,3.53,0.0,0.0,0.0,189955418,121182.5,-0.38,1.16,42,40,,42.0
603518,锦泓集团,9.49,3.26,0.0,0.0,0.0,16656040,16068.6,1.26,1.12,42,40,,42.0
002774,快意电梯,12.44,1.72,0.0,0.0,0.0,17011000,20592.9,4.09,1.33,42,40,,42.0
000833,粤桂股份,27.6,0.73,0.0,0.0,0.0,40096408,111247.7,4.89,1.44,42,40,,42.0
000007,全新好,14.27,2.15,0.0,0.0,0.0,6268250,8778.6,1.13,1.16,42,40,,42.0
600176,中国巨石,34.43,2.96,0.0,0.0,0.0,124355513,426519.3,1.98,1.03,42,40,,42.0
600773,西藏城投,27.28,4.6,0.0,0.0,0.0,32860769,87398.4,8.11,1.13,41,39,,41.0
000983,山西焦煤,6.74,2.43,0.0,0.0,0.0,75878765,50753.6,1.64,1.4,41,39,,41.0
000528,柳 工,9.85,2.18,0.0,0.0,0.0,37042597,36341.6,-1.13,1.43,41,39,,41.0
600739,辽宁成大,11.83,3.14,0.0,0.0,0.0,21370907,25253.3,-0.73,1.51,41,39,,41.0
603137,恒尚节能,13.82,3.21,0.0,0.0,0.0,4041040,5563.4,1.33,1.47,41,39,,41.0
603351,威尔药业,26.66,2.03,0.0,0.0,0.0,1203590,3192.9,0.67,1.26,41,39,,41.0
000663,永安林业,6.59,2.01,0.0,0.0,0.0,7821400,5142.5,1.48,1.34,41,39,,41.0
601101,昊华能源,10.6,7.18,0.0,0.0,0.0,52728752,53913.2,7.76,1.35,40,38,,40.0
002648,卫星化学,29.17,4.37,0.0,0.0,0.0,49128728,140883.0,2.6,0.81,40,38,,40.0
002081,金 螳 螂,4.72,6.55,0.0,0.0,0.0,415912046,195702.4,-3.32,1.33,40,38,,40.0
000025,特 力Ａ,16.22,0.93,0.0,0.0,0.0,6580160,10624.4,0.89,1.52,40,38,,40.0
600150,中国船舶,41.3,7.52,0.0,0.0,0.0,228607861,940758.4,1.82,0.68,40,38,,40.0
600030,中信证券,27.22,1.68,0.0,0.0,0.0,230973352,632304.4,1.03,1.24,40,38,,40.0
002890,弘宇股份,16.66,1.34,0.0,0.0,0.0,1982500,3257.0,4.34,1.56,40,38,,40.0
002176,江特电机,14.62,0.9,0.0,0.0,0.0,227126973,328318.7,12.17,1.86,40,38,,40.0
605090,九丰能源,49.62,7.03,0.0,0.0,0.0,47468452,222684.9,0.52,1.0,39,37,,39.0
600938,中国海油,39.88,2.73,0.0,0.0,0.0,37887960,149110.4,2.28,1.11,39,37,,39.0
600217,中再资环,3.72,1.09,0.0,0.0,0.0,11932729,4445.7,-1.18,1.77,38,36,,38.0
002838,道恩股份,29.69,1.61,0.0,0.0,0.0,7904204,23352.5,3.5,1.1,38,36,,38.0
002971,和远气体,33.64,1.78,0.0,0.0,0.0,9501260,31618.1,1.95,1.15,38,36,,38.0
603101,汇嘉时代,10.8,2.37,0.0,0.0,0.0,27899677,30220.6,2.37,0.98,38,36,,38.0
601016,节能风电,4.7,1.07,0.0,0.0,0.0,553883313,254892.8,6.41,1.06,38,36,,38.0
002386,天原股份,6.89,1.32,0.0,0.0,0.0,67488922,46947.0,1.95,1.09,38,36,,38.0
002245,蔚蓝锂芯,20.79,1.71,0.0,0.0,0.0,43231160,89356.7,-1.13,1.25,38,36,,38.0
000637,茂化实华,4.56,1.33,0.0,0.0,0.0,8310600,3768.5,1.21,1.68,38,36,,38.0
600348,华阳股份,10.2,4.08,0.0,0.0,0.0,55923976,56471.9,-1.92,0.88,38,36,,38.0
000985,大庆华科,19.93,1.12,0.0,0.0,0.0,1497588,2981.8,2.78,1.66,38,36,,38.0
000539,粤电力Ａ,7.05,2.32,0.0,0.0,0.0,186596039,128836.8,2.71,0.96,38,36,,38.0
603985,恒润股份,27.2,3.07,0.0,0.0,0.0,40378138,109291.2,4.94,0.9,38,36,,38.0
000889,中嘉博创,4.71,5.61,0.0,0.0,0.0,193230370,91556.6,2.7,0.94,38,36,,38.0
002636,金安国纪,45.36,2.86,0.0,0.0,0.0,71379778,333204.8,1.79,0.88,38,36,,38.0
002444,巨星科技,32.41,2.82,0.0,0.0,0.0,18223869,58898.5,-0.46,1.37,38,36,,38.0
002574,明牌珠宝,5.56,2.96,0.0,0.0,0.0,20096559,11295.5,0.6,1.3,38,36,,38.0
000155,川能动力,18.41,2.96,0.0,0.0,0.0,101877304,185740.8,3.53,0.99,38,36,,38.0
002730,电光科技,30.89,3.14,0.0,0.0,0.0,22327480,68574.6,5.91,1.29,38,36,,38.0
002700,万憬能源,6.86,0.88,0.0,0.0,0.0,6481300,4432.2,2.04,1.56,38,36,,38.0
601666,平煤股份,8.44,1.69,0.0,0.0,0.0,26259583,21992.9,3.18,1.4,37,35,,37.0
002233,塔牌集团,9.75,3.07,0.0,0.0,0.0,16698397,16022.0,1.09,1.04,37,35,,37.0
600409,三友化工,7.75,1.84,0.0,0.0,0.0,41306735,31851.0,2.73,1.26,37,35,,37.0
600508,上海能源,13.66,1.79,0.0,0.0,0.0,9356600,12587.6,1.65,1.21,37,35,,37.0
603298,杭叉集团,27.36,1.37,0.0,0.0,0.0,5739238,15604.7,3.37,1.39,37,35,,37.0
601969,海南矿业,11.6,1.58,0.0,0.0,0.0,19102915,22091.0,1.01,1.02,36,34,,36.0
002494,华斯股份,5.74,1.77,0.0,0.0,0.0,10458900,6013.5,1.15,1.04,36,34,,36.0
000652,泰达股份,4.3,2.62,0.0,0.0,0.0,41133414,17685.0,0.14,0.78,36,34,,36.0
000301,东方盛虹,13.05,2.27,0.0,0.0,0.0,24414468,31581.0,0.84,0.85,36,34,,36.0
601778,晶科科技,7.14,2.88,0.0,0.0,0.0,587898055,422911.3,1.49,0.75,36,34,,36.0
600023,浙能电力,5.85,1.21,0.0,0.0,0.0,118414317,68237.7,0.14,1.02,36,34,,36.0
600690,海尔智家,21.29,3.75,0.0,0.0,0.0,107626779,227855.9,-0.43,1.04,36,34,,36.0
605186,健麾信息,20.2,0.8,0.0,0.0,0.0,1845400,3734.2,1.16,1.14,36,34,,36.0
600768,宁波富邦,17.7,1.72,0.0,0.0,0.0,12654524,22604.0,1.59,1.07,36,34,,36.0
002064,华峰化学,11.67,2.01,0.0,0.0,0.0,31164100,36347.3,0.18,0.78,36,34,,36.0
603335,迪生力,7.23,6.17,0.0,0.0,0.0,56340438,40066.6,-0.41,1.01,36,34,,36.0
002702,海欣食品,5.82,1.04,0.0,0.0,0.0,44203970,25445.5,2.45,1.35,35,33,,35.0
002408,齐翔腾达,6.65,1.06,0.0,0.0,0.0,41715646,27764.2,4.35,1.4,35,33,,35.0
600408,安泰集团,3.27,1.55,0.0,0.0,0.0,43711801,14091.4,1.51,1.49,35,33,,35.0
601298,青岛港,9.05,1.34,0.0,0.0,0.0,7265300,6561.2,-0.84,1.33,35,33,,35.0
600545,卓郎智能,5.02,1.41,0.0,0.0,0.0,128126301,63771.2,9.56,1.8,35,33,,35.0
000605,渤海股份,6.93,1.17,0.0,0.0,0.0,4169457,2880.9,1.75,1.34,35,33,,35.0
603880,南卫股份,6.62,1.22,0.0,0.0,0.0,8058555,5324.2,1.9,1.41,35,33,,35.0
600558,大西洋,5.54,3.55,0.0,0.0,0.0,37012092,20579.3,0.34,0.97,35,33,,35.0
600186,莲花控股,9.85,5.46,0.0,0.0,0.0,342939566,336013.8,4.69,0.98,35,33,,35.0
601018,宁波港,3.83,0.79,0.0,0.0,0.0,41343351,15752.9,-0.73,1.65,35,33,,35.0
002552,宝鼎科技,21.9,1.77,0.0,0.0,0.0,17408600,38227.9,-0.24,1.25,35,33,,35.0
002866,传艺科技,26.99,4.01,0.0,0.0,0.0,37970800,103191.7,-1.12,0.62,35,33,,35.0
600109,国金证券,8.84,0.91,0.0,0.0,0.0,34794743,30910.1,1.51,1.21,35,33,,35.0
002041,登海种业,9.89,3.56,0.0,0.0,0.0,16189610,16006.3,-4.15,1.4,35,33,,35.0
002382,蓝帆医疗,7.68,2.54,0.0,0.0,0.0,42766628,33305.4,0.52,1.16,35,33,,35.0
002205,国统股份,13.04,1.01,0.0,0.0,0.0,3882702,5066.3,1.56,1.29,35,33,,35.0
002873,新天药业,9.67,0.83,0.0,0.0,0.0,7495544,7254.1,1.03,1.26,35,33,,35.0
002144,宏达高科,14.27,0.99,0.0,0.0,0.0,4338200,6167.2,-4.45,2.41,34,32,,34.0
605222,起帆电缆,34.17,2.18,0.0,0.0,0.0,19445100,67882.1,0.29,0.71,34,32,,34.0
603117,万林物流,4.65,3.1,0.0,0.0,0.0,16263120,7578.1,0.8,1.01,34,32,,34.0
002457,青龙管业,11.42,3.82,0.0,0.0,0.0,25513670,29029.4,-0.79,1.02,34,32,,34.0
002394,联发股份,12.46,1.88,0.0,0.0,0.0,8213900,10163.8,-8.11,2.8,34,32,,34.0
001378,德冠新材,25.81,2.62,0.0,0.0,0.0,2584318,6677.6,-0.53,1.12,34,32,,34.0
603316,诚邦股份,15.69,0.96,0.0,0.0,0.0,7318330,11433.6,0.41,1.09,33,31,,33.0
600426,华鲁恒升,39.18,3.27,0.0,0.0,0.0,27011730,104951.9,3.72,0.74,33,31,,33.0
601717,中创智领,20.12,2.44,0.0,0.0,0.0,18921839,37839.1,-1.4,1.23,33,31,,33.0
603619,中曼石油,34.85,3.32,0.0,0.0,0.0,18243553,62645.6,2.17,0.7,33,31,,33.0
000422,湖北宜化,16.82,4.54,0.0,0.0,0.0,70839555,120222.5,-1.69,0.86,33,31,,33.0
002876,三利谱,30.51,3.04,0.0,0.0,0.0,9592047,28926.4,0.61,0.97,33,31,,33.0
002262,恩华药业,22.4,0.81,0.0,0.0,0.0,10154080,22771.6,2.87,1.0,33,31,,33.0
600500,中化国际,4.43,4.98,0.0,0.0,0.0,54505990,23930.4,-0.28,0.78,33,31,,33.0
603080,新疆火炬,21.92,1.11,0.0,0.0,0.0,2225200,4860.3,-0.06,1.2,33,31,,33.0
600526,菲达环保,5.5,1.66,0.0,0.0,0.0,11858423,6477.0,0.37,1.27,33,31,,33.0
000869,张 裕Ａ,19.37,1.25,0.0,0.0,0.0,1627532,3157.0,0.22,1.23,33,31,,33.0
600332,白云山,22.89,2.69,0.0,0.0,0.0,21333830,48913.1,-1.33,1.37,33,31,,33.0
601857,中国石油,12.15,1.59,0.0,0.0,0.0,142591676,171747.5,2.0,1.06,33,31,,33.0
601456,国联民生,9.49,2.93,0.0,0.0,0.0,54093371,51336.4,-0.82,1.22,33,31,,33.0
002734,利民股份,18.29,0.77,0.0,0.0,0.0,18908819,34071.5,2.79,1.29,32,30,,32.0
603527,众源新材,12.27,1.32,0.0,0.0,0.0,19605807,23897.7,1.87,1.5,32,30,,32.0
000338,潍柴动力,30.01,1.18,0.0,0.0,0.0,94778217,284228.7,3.24,0.79,32,30,,32.0
601838,成都银行,18.72,1.52,0.0,0.0,0.0,19711333,36678.9,2.17,0.78,32,30,,32.0
600121,郑州煤电,4.21,1.45,0.0,0.0,0.0,33853206,14075.4,-0.38,1.28,32,30,,32.0
600375,汉马科技,5.31,1.34,0.0,0.0,0.0,27127500,14460.5,0.5,1.35,32,30,,32.0
600869,远东股份,17.41,0.99,0.0,0.0,0.0,96689120,166889.3,4.13,0.95,32,30,,32.0
600096,云天化,35.5,0.88,0.0,0.0,0.0,70508735,252745.8,1.24,0.92,32,30,,32.0
600685,中船防务,31.72,3.22,0.0,0.0,0.0,30648669,98376.6,-1.07,0.8,31,29,,31.0
002805,丰元股份,18.84,2.61,0.0,0.0,0.0,22096880,41869.2,1.49,0.85,31,29,,31.0
002580,圣阳股份,29.1,0.97,0.0,0.0,0.0,107090359,310950.5,2.99,1.18,31,29,,31.0
603916,苏博特,11.49,2.59,0.0,0.0,0.0,25850315,29992.8,0.14,0.86,31,29,,31.0
002603,以岭药业,17.01,1.49,0.0,0.0,0.0,27019160,46143.0,1.09,1.05,31,29,,31.0
000665,湖北广电,4.76,1.28,0.0,0.0,0.0,24261022,11675.0,0.99,1.14,31,29,,31.0
000415,渤海租赁,4.74,2.6,0.0,0.0,0.0,56500107,26583.5,-0.13,0.91,31,29,,31.0
001299,美能能源,15.46,3.34,0.0,0.0,0.0,10999406,16741.4,0.63,0.64,31,29,,31.0
000096,广聚能源,9.8,1.03,0.0,0.0,0.0,8297101,8064.8,0.35,1.19,31,29,,31.0
600903,贵州燃气,6.49,1.88,0.0,0.0,0.0,14635682,9499.8,0.95,1.13,31,29,,31.0
002201,九鼎新材,14.53,2.83,0.0,0.0,0.0,79484353,113514.3,-2.39,0.63,31,29,,31.0
601088,中国神华,48.13,2.89,0.0,0.0,0.0,31167452,148295.1,0.47,0.75,31,29,,31.0
603915,国茂股份,15.81,2.8,0.0,0.0,0.0,13352120,21210.4,-0.43,0.98,31,29,,31.0
603689,皖天然气,8.3,1.1,0.0,0.0,0.0,4446100,3677.2,0.47,1.06,31,29,,31.0
002507,涪陵榨菜,12.6,1.21,0.0,0.0,0.0,11898167,14925.8,0.81,1.16,31,29,,31.0
605011,杭州热电,20.41,2.1,0.0,0.0,0.0,4137970,8421.0,-0.99,0.53,31,29,,31.0
600329,达仁堂,39.66,1.67,0.0,0.0,0.0,2658069,10501.5,-2.66,1.75,30,28,,30.0
600236,桂冠电力,10.03,5.25,0.0,0.0,0.0,23048006,22657.2,-5.27,0.79,30,28,,30.0
601199,江南水务,5.25,0.77,0.0,0.0,0.0,6194300,3245.3,-5.2,1.82,30,28,,30.0
603127,昭衍新药,39.64,6.47,0.0,0.0,0.0,54547891,213771.0,-0.58,0.87,30,28,,30.0
002032,苏 泊 尔,47.46,0.76,0.0,0.0,0.0,1817994,8632.2,0.03,0.72,30,28,,30.0
603681,永冠新材,18.17,4.42,0.0,0.0,0.0,12067943,21752.4,-1.14,0.85,30,28,,30.0
603926,铁流股份,19.94,0.76,0.0,0.0,0.0,7510950,15041.9,1.41,0.84,30,28,,30.0
603601,再升科技,15.8,5.76,0.0,0.0,0.0,184743936,275183.9,-2.16,0.81,30,28,,30.0
603178,圣龙股份,18.52,6.44,0.0,0.0,0.0,28727537,51560.5,-9.27,0.73,30,28,,30.0
000722,湖南发展,14.68,1.66,0.0,0.0,0.0,27079461,39555.8,-1.31,0.57,30,28,,30.0
603719,良品铺子,10.56,1.15,0.0,0.0,0.0,4716749,4989.9,1.5,0.9,30,28,,30.0
002588,史丹利,11.32,0.89,0.0,0.0,0.0,19129700,21627.6,-1.46,0.57,30,28,,30.0
002918,蒙娜丽莎,11.4,1.06,0.0,0.0,0.0,5297100,6095.0,-1.38,1.3,30,28,,30.0
600352,浙江龙盛,13.22,1.46,0.0,0.0,0.0,40512281,53152.8,-0.03,1.26,30,28,,30.0
601878,浙商证券,9.77,4.05,0.0,0.0,0.0,77505179,75883.7,-0.8,0.94,30,28,,30.0
001207,联科科技,18.52,4.51,0.0,0.0,0.0,9524300,17544.6,-0.21,0.43,30,28,,30.0
002746,仙坛股份,6.29,1.29,0.0,0.0,0.0,15881450,9921.9,0.23,0.79,30,28,,30.0
000623,吉林敖东,18.45,3.71,0.0,0.0,0.0,22158888,41061.6,-0.49,0.81,30,28,,30.0
