代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct
000812,陕西金叶,4.09,2.25,1.73,2.94,4.25,222294,8911.7,3.49,1.62,65,61
603005,晶方科技,31.93,1.69,1.2,7.68,3.38,500828,161433.2,1.08,1.3,65,61
603336,宏辉果蔬,11.48,1.77,1.41,6.34,4.52,385846,43520.7,5.88,1.38,65,61
603238,诺邦股份,15.69,3.09,1.67,2.49,4.4,44136,6788.0,0.01,1.6,65,61
002319,乐通股份,11.05,1.66,1.65,4.26,5.24,85206,9185.9,0.22,1.63,65,61
603341,龙旗科技,38.24,4.71,1.34,3.71,5.61,98739,37383.4,1.0,1.3,65,61
002972,科安达,13.5,4.09,1.17,6.59,4.24,88704,11881.0,1.79,1.03,65,61
603363,傲农生物,3.38,2.11,1.69,5.6,7.55,1201217,39875.5,-8.3,1.56,64,60
000779,甘咨询,8.69,3.95,1.51,2.22,3.59,103221,8867.3,1.0,1.4,64,60
603217,元利科技,30.28,2.64,1.27,4.2,10.24,87359,26872.6,3.42,1.13,64,60
601798,蓝科高新,8.75,3.43,1.73,3.95,6.03,139926,11970.7,-1.84,1.62,64,60
600323,瀚蓝环境,30.82,2.09,1.91,1.5,7.32,122544,38008.5,4.2,1.79,64,60
603063,禾望电气,42.35,4.05,0.87,8.5,9.34,389753,163634.1,1.87,1.02,64,60
603208,江山欧派,13.52,2.81,1.65,1.54,4.56,27240,3623.3,3.13,1.65,64,60
603233,大参林,18.6,2.25,1.6,0.95,4.01,108512,20056.1,2.96,1.51,64,60
002577,雷柏科技,16.03,2.23,1.61,0.97,4.34,27206,4309.8,2.59,1.55,64,60
603291,联合水务,12.1,3.24,1.55,1.69,4.69,71337,8558.5,0.65,1.6,64,60
002827,高争民爆,32.22,1.19,2.63,1.8,6.38,49564,15402.3,0.27,2.57,64,60
000868,安凯客车,4.46,2.29,1.93,1.66,4.13,121690,5363.5,2.39,1.91,64,60
603685,晨丰科技,33.79,6.53,1.38,2.6,8.04,52314,17248.6,5.17,1.44,64,60
002391,长青股份,6.68,2.93,1.29,4.97,4.78,230517,15232.4,3.47,1.13,64,60
002443,金洲管道,11.8,4.42,1.27,11.39,6.28,591348,69883.1,8.76,1.2,64,60
000539,粤电力Ａ,6.89,5.03,1.1,8.64,10.21,2207686,151065.1,2.71,0.96,64,60
600057,厦门象屿,6.9,0.88,2.28,3.08,4.53,645055,44691.8,-7.58,2.04,63,60
002524,光正眼科,4.24,2.17,1.43,3.67,5.3,187387,7793.2,3.01,1.39,63,60
603167,渤海轮渡,9.24,-1.18,2.63,2.74,2.89,128399,11885.0,-1.01,2.38,63,60
603273,天元智能,17.7,1.37,1.61,3.61,3.55,20216,3564.9,0.77,1.59,63,60
002539,云图控股,15.03,2.31,1.47,3.48,5.99,309325,46141.2,3.84,1.48,63,60
000637,茂化实华,4.5,1.58,1.76,3.34,4.51,121943,5387.1,1.21,1.68,63,60
603982,泉峰汽车,7.49,-3.97,4.99,7.32,8.46,248547,17919.3,-2.98,5.29,63,60
600326,西藏天路,9.27,0.87,2.0,2.75,5.55,374265,34260.8,0.24,1.89,63,60
002655,共达电声,25.9,2.98,1.02,11.37,7.75,412920,105773.0,4.58,1.02,63,60
600159,大龙地产,3.14,2.95,1.38,4.29,8.52,355677,10827.7,4.6,1.39,63,60
001210,金房能源,20.18,-2.09,3.14,6.73,7.08,64135,12668.3,-2.8,3.39,63,60
002187,广百股份,6.09,2.18,1.57,2.07,4.53,145212,8724.4,0.26,1.53,63,60
002197,证通电子,7.9,2.73,1.29,4.99,4.03,266670,21271.2,3.32,1.25,63,60
600573,惠泉啤酒,13.28,3.43,1.18,5.96,5.76,148962,19795.8,3.44,1.16,63,60
002133,广宇集团,3.32,1.84,1.76,3.05,4.6,234963,7604.9,1.78,1.86,63,60
600256,广汇能源,6.24,4.0,1.31,4.77,5.17,3051643,189602.5,-0.38,1.16,62,59
002852,道道全,9.82,1.97,1.53,2.44,3.74,69594,6741.7,1.4,1.54,62,59
600226,亨通股份,5.41,3.84,1.37,2.61,6.14,777788,41572.3,2.46,1.37,62,59
600615,鑫源智造,11.64,1.66,1.79,2.14,4.8,48153,5535.4,2.19,1.95,62,59
000523,红棉股份,3.26,1.56,1.89,2.39,4.05,316471,10135.4,0.87,1.87,62,59
603214,爱婴室,16.05,1.71,1.64,2.24,2.92,31042,4934.6,0.92,1.76,62,59
002408,齐翔腾达,6.58,6.65,1.44,2.82,7.78,775848,49911.0,4.35,1.4,62,59
002819,东方中科,27.02,2.31,1.94,1.87,7.72,44351,11637.2,1.62,1.92,62,59
603213,镇洋发展,13.53,1.2,2.55,0.71,2.39,31291,4191.6,0.71,2.78,62,59
002395,双象股份,18.87,2.33,1.33,2.99,4.56,80125,15031.9,2.44,1.3,62,59
600712,南宁百货,5.93,3.13,1.68,1.76,4.35,94867,5541.2,1.58,1.73,62,59
