代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score,enrich_score,enrich_notes
003026,中晶科技,47.97,5.94,0.0,0.0,0.0,24401865,117457.0,5.97,1.8,63,60,新浪,2026-04-29 14:12:47,,76.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
002795,永和智控,9.03,3.79,0.0,0.0,0.0,31108624,28075.9,6.59,2.86,67,63,新浪,2026-04-29 14:12:47,,75.0,8.0,同花顺突破5日线、腾讯尾段成交放大
002963,豪尔赛,17.5,4.29,0.0,0.0,0.0,8430600,14444.5,4.11,1.67,61,58,新浪,2026-04-29 14:12:47,,75.0,14.0,同花顺量价齐升、同花顺突破5日线、腾讯尾段成交放大
002340,格林美,9.48,6.16,0.0,0.0,0.0,358752426,330908.6,4.4,2.16,67,63,新浪,2026-04-29 14:12:47,,74.0,7.0,同花顺连续上涨、同花顺突破5日线
000546,金圆股份,7.39,3.94,0.0,0.0,0.0,78972400,57039.4,5.6,1.67,63,60,新浪,2026-04-29 14:12:47,,73.0,10.0,同花顺突破5日线、腾讯买盘占优72%
600884,杉杉股份,16.45,4.38,0.0,0.0,0.0,146030558,236345.7,4.9,1.53,63,60,新浪,2026-04-29 14:12:47,,73.0,10.0,同花顺突破5日线、腾讯买盘占优68%
002266,浙富控股,5.04,5.88,0.0,0.0,0.0,273557349,133946.5,4.68,2.95,67,63,新浪,2026-04-29 14:12:47,,71.0,4.0,同花顺突破5日线
002591,恒大高新,7.61,3.96,0.0,0.0,0.0,9449387,7079.6,2.86,1.52,58,55,新浪,2026-04-29 14:12:47,,71.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
603045,福达合金,42.09,4.99,0.0,0.0,0.0,6106136,25175.0,6.67,1.52,63,60,新浪,2026-04-29 14:12:47,,71.0,8.0,同花顺突破5日线、腾讯尾段成交放大
002798,帝欧水华,7.91,4.22,0.0,0.0,0.0,31793674,24771.6,5.17,1.86,63,60,新浪,2026-04-29 14:12:47,,70.0,7.0,同花顺连续上涨、同花顺突破5日线
002407,多氟多,35.98,6.58,0.0,0.0,0.0,186281912,650485.1,6.9,1.56,63,60,新浪,2026-04-29 14:12:47,,70.0,7.0,同花顺突破5日线、腾讯买盘偏强55%
002563,森马服饰,6.09,6.47,0.0,0.0,0.0,73570768,44225.8,3.89,2.21,62,59,新浪,2026-04-29 14:12:47,,69.0,7.0,同花顺连续上涨、同花顺突破5日线
603488,展鹏科技,11.46,4.56,0.0,0.0,0.0,12886880,14585.2,2.89,2.22,65,61,新浪,2026-04-29 14:12:47,,69.0,4.0,腾讯尾段成交放大
000651,格力电器,40.56,5.51,0.0,0.0,0.0,174790836,704606.5,1.14,1.74,56,53,新浪,2026-04-29 14:12:47,,69.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
000782,恒申新材,7.13,3.94,0.0,0.0,0.0,34965950,24672.8,7.35,3.14,65,61,新浪,2026-04-29 14:12:47,,69.0,4.0,同花顺突破5日线
600540,新赛股份,5.08,3.88,0.0,0.0,0.0,16546173,8355.6,2.62,1.63,63,60,新浪,2026-04-29 14:12:47,,69.0,6.0,腾讯买盘占优79%
000636,风华高科,25.42,4.01,0.0,0.0,0.0,102758261,256926.8,3.19,1.37,55,52,新浪,2026-04-29 14:12:47,,68.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
603156,养元饮品,35.84,4.73,0.0,0.0,0.0,8197998,28828.2,3.35,1.76,63,60,新浪,2026-04-29 14:12:47,,67.0,4.0,同花顺突破5日线
601918,新集能源,9.02,3.68,0.0,0.0,0.0,80536502,71484.9,5.18,1.62,63,60,新浪,2026-04-29 14:12:47,,67.0,4.0,同花顺突破5日线
603029,天鹅股份,19.72,2.76,0.0,0.0,0.0,1830430,3590.7,1.96,1.6,54,51,新浪,2026-04-29 14:12:47,,67.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
